"id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal","medalist"
326,"Mohamed Abdullah","M",NA,176,66,"United Arab Emirates","UAE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","None","No"
326,"Mohamed Abdullah","M",NA,176,66,"United Arab Emirates","UAE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","None","No"
326,"Mohamed Abdullah","M",NA,176,66,"United Arab Emirates","UAE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 100 metres Backstroke","None","No"
326,"Mohamed Abdullah","M",NA,176,66,"United Arab Emirates","UAE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 200 metres Backstroke","None","No"
326,"Mohamed Abdullah","M",NA,176,66,"United Arab Emirates","UAE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 200 metres Individual Medley","None","No"
326,"Mohamed Abdullah","M",NA,176,66,"United Arab Emirates","UAE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
331,"Wan Azlan Abdullah","M",21,188,77,"Malaysia","MAS","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Individual Medley","None","No"
331,"Wan Azlan Abdullah","M",21,188,77,"Malaysia","MAS","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 400 metres Individual Medley","None","No"
331,"Wan Azlan Abdullah","M",21,188,77,"Malaysia","MAS","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
331,"Wan Azlan Abdullah","M",25,188,77,"Malaysia","MAS","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 400 metres Individual Medley","None","No"
342,"Abdullah Abdulrahman Zeyab","M",16,177,NA,"Kuwait","KUW","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 100 metres Freestyle","None","No"
417,"Sara Helena berg","F",17,190,73,"Sweden","SWE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 50 metres Freestyle","None","No"
430,"Matthew Duncan Abeysinghe","M",20,180,74,"Sri Lanka","SRI","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 100 metres Freestyle","None","No"
460,"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 400 metres Freestyle","None","No"
460,"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Silver","Yes"
460,"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Bronze","Yes"
460,"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
465,"Matthew ""Matt"" Abood","M",30,197,92,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 50 metres Freestyle","None","No"
465,"Matthew ""Matt"" Abood","M",30,197,92,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Bronze","Yes"
509,"Gary Abraham","M",17,175,64,"Great Britain","GBR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 100 metres Backstroke","None","No"
509,"Gary Abraham","M",17,175,64,"Great Britain","GBR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
509,"Gary Abraham","M",21,175,64,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Backstroke","None","No"
509,"Gary Abraham","M",21,175,64,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Butterfly","None","No"
509,"Gary Abraham","M",21,175,64,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Bronze","Yes"
546,"Inna Vladimirovna Abramova","F",21,172,63,"Soviet Union","URS","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 50 metres Freestyle","None","No"
546,"Inna Vladimirovna Abramova","F",21,172,63,"Soviet Union","URS","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","None","No"
558,"David Abrard","M",19,187,81,"France","FRA","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Butterfly","None","No"
567,"Emilio Julio Abreu","M",22,NA,NA,"Paraguay","PAR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 200 metres Breaststroke","None","No"
567,"Emilio Julio Abreu","M",22,NA,NA,"Paraguay","PAR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 200 metres Butterfly","None","No"
567,"Emilio Julio Abreu","M",22,NA,NA,"Paraguay","PAR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 400 metres Individual Medley","None","No"
572,"Rui Pinto de Abreu","M",15,177,64,"Portugal","POR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 400 metres Freestyle","None","No"
572,"Rui Pinto de Abreu","M",15,177,64,"Portugal","POR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","None","No"
572,"Rui Pinto de Abreu","M",19,177,64,"Portugal","POR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Freestyle","None","No"
572,"Rui Pinto de Abreu","M",19,177,64,"Portugal","POR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 200 metres Freestyle","None","No"
572,"Rui Pinto de Abreu","M",19,177,64,"Portugal","POR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Backstroke","None","No"
578,"Bourhan Abro","M",21,180,70,"Djibouti","DJI","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 50 metres Freestyle","None","No"
598,"Omar Abu-Fares","M",16,178,69,"Jordan","JOR","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 200 metres Individual Medley","None","No"
598,"Omar Abu-Fares","M",19,178,69,"Jordan","JOR","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 100 metres Backstroke","None","No"
621,"Anas Sameer N. H. Abuyousuf","M",14,181,77,"Qatar","QAT","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 400 metres Freestyle","None","No"
650,"Javier Carlos Acevedo","M",18,182,68,"Canada","CAN","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 100 metres Backstroke","None","No"
650,"Javier Carlos Acevedo","M",18,182,68,"Canada","CAN","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
718,"Luis Angel Acosta","M",20,180,73,"Mexico","MEX","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 100 metres Backstroke","None","No"
718,"Luis Angel Acosta","M",20,180,73,"Mexico","MEX","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 200 metres Backstroke","None","No"
720,"Marcelo Alberto Acosta Jimnez","M",20,NA,NA,"El Salvador","ESA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 200 metres Freestyle","None","No"
720,"Marcelo Alberto Acosta Jimnez","M",20,NA,NA,"El Salvador","ESA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 400 metres Freestyle","None","No"
720,"Marcelo Alberto Acosta Jimnez","M",20,NA,NA,"El Salvador","ESA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 1,500 metres Freestyle","None","No"
738,"Crox Ernesto Acua Rodrguez","M",18,192,89,"Venezuela","VEN","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 200 metres Freestyle","None","No"
738,"Crox Ernesto Acua Rodrguez","M",22,192,89,"Venezuela","VEN","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","None","No"
759,"Ahmed Adam","M",20,162,60,"Sudan","SUD","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 50 metres Freestyle","None","No"
761,"Gal Adam","M",22,190,80,"Mauritius","MRI","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 100 metres Freestyle","None","No"
765,"Jean-Paul Adam","M",15,NA,NA,"Seychelles","SEY","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 200 metres Freestyle","None","No"
765,"Jean-Paul Adam","M",15,NA,NA,"Seychelles","SEY","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 400 metres Freestyle","None","No"
765,"Jean-Paul Adam","M",15,NA,NA,"Seychelles","SEY","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 200 metres Individual Medley","None","No"
789,"Petr Adamec","M",20,187,87,"Czechoslovakia","TCH","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 200 metres Freestyle","None","No"
789,"Petr Adamec","M",20,187,87,"Czechoslovakia","TCH","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 400 metres Freestyle","None","No"
789,"Petr Adamec","M",20,187,87,"Czechoslovakia","TCH","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","None","No"
793,"Panagiotis Adamidis","M",18,NA,NA,"Greece","GRE","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 100 metres Backstroke","None","No"
793,"Panagiotis Adamidis","M",18,NA,NA,"Greece","GRE","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Backstroke","None","No"
799,"Nafissatou Moussa Adamou","F",14,172,72,"Niger","NIG","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 50 metres Freestyle","None","No"
803,"Anne Wilma Adams (-King)","F",16,165,54,"Great Britain","GBR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Women's 200 metres Butterfly","None","No"
803,"Anne Wilma Adams (-King)","F",16,165,54,"Great Britain","GBR","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Women's 400 metres Individual Medley","None","No"
811,"Natalie Cammile Adams (-Brannan)","F",20,173,65,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 200 metres Butterfly","None","No"
811,"Natalie Cammile Adams (-Brannan)","F",24,173,65,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 200 metres Butterfly","None","No"
868,"Frances ""Fran"" Adcock","F",20,178,72,"Australia","AUS","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Women's 200 metres Backstroke","None","No"
873,"Mehdi Addadi","M",28,179,70,"Algeria","ALG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Backstroke","None","No"
873,"Mehdi Addadi","M",28,179,70,"Algeria","ALG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Butterfly","None","No"
903,"Carolyn Adel","F",17,163,52,"Suriname","SUR","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 200 metres Freestyle","None","No"
903,"Carolyn Adel","F",17,163,52,"Suriname","SUR","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 400 metres Freestyle","None","No"
903,"Carolyn Adel","F",17,163,52,"Suriname","SUR","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 200 metres Individual Medley","None","No"
903,"Carolyn Adel","F",17,163,52,"Suriname","SUR","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 400 metres Individual Medley","None","No"
903,"Carolyn Adel","F",22,163,52,"Suriname","SUR","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 200 metres Individual Medley","None","No"
903,"Carolyn Adel","F",22,163,52,"Suriname","SUR","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 400 metres Individual Medley","None","No"
960,"Amanda Jo Adkins (-Schneider)","F",23,173,61,"United States","USA","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 200 metres Backstroke","None","No"
980,"Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 400 metres Freestyle","Gold","Yes"
980,"Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 800 metres Freestyle","Gold","Yes"
980,"Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 400 metres Freestyle","Bronze","Yes"
980,"Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 800 metres Freestyle","Bronze","Yes"
984,"Jane Admans","F",21,165,53,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Women's 200 metres Backstroke","None","No"
1010,"Jean-Luc Adorno","M",23,180,64,"Monaco","MON","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 100 metres Freestyle","None","No"
1017,"Nathan Ghar-Jun Adrian","M",19,198,100,"United States","USA","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Gold","Yes"
1017,"Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 100 metres Freestyle","Gold","Yes"
1017,"Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Silver","Yes"
1017,"Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Gold","Yes"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 50 metres Freestyle","Bronze","Yes"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 100 metres Freestyle","Bronze","Yes"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Gold","Yes"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Gold","Yes"
1032,"Serhiy Mykolaiovych Advena","M",20,190,82,"Ukraine","UKR","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","None","No"
1032,"Serhiy Mykolaiovych Advena","M",20,190,82,"Ukraine","UKR","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 200 metres Butterfly","None","No"
1032,"Serhiy Mykolaiovych Advena","M",24,190,82,"Ukraine","UKR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 200 metres Freestyle","None","No"
1032,"Serhiy Mykolaiovych Advena","M",24,190,82,"Ukraine","UKR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 200 metres Butterfly","None","No"
1052,"Jasper Aerents","M",19,191,86,"Belgium","BEL","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 50 metres Freestyle","None","No"
1052,"Jasper Aerents","M",19,191,86,"Belgium","BEL","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","None","No"
1052,"Jasper Aerents","M",23,191,86,"Belgium","BEL","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 50 metres Freestyle","None","No"
1052,"Jasper Aerents","M",23,191,86,"Belgium","BEL","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","None","No"
1087,"Evelina Afoa","F",17,162,60,"Samoa","SAM","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 100 metres Backstroke","None","No"
1108,"Drago Agache","M",28,175,75,"Romania","ROU","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 100 metres Breaststroke","None","No"
1110,"Aleksandr Agafonov","M",21,190,86,"Uzbekistan","UZB","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","None","No"
1110,"Aleksandr Agafonov","M",25,190,86,"Uzbekistan","UZB","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Freestyle","None","No"
1110,"Aleksandr Agafonov","M",29,190,86,"Uzbekistan","UZB","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 100 metres Freestyle","None","No"
1112,"Alphonsine Agahozo","F",16,160,50,"Rwanda","RWA","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 50 metres Freestyle","None","No"
1118,"Francilla Agar (-Schofield)","F",25,170,55,"Dominica","DMA","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 50 metres Freestyle","None","No"
1156,"Norbert gh","M",18,194,78,"Hungary","HUN","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 200 metres Freestyle","None","No"
1156,"Norbert gh","M",18,194,78,"Hungary","HUN","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 1,500 metres Freestyle","None","No"
1157,"Olivr gh","M",17,187,78,"Hungary","HUN","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 100 metres Backstroke","None","No"
1157,"Olivr gh","M",17,187,78,"Hungary","HUN","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 200 metres Backstroke","None","No"
1157,"Olivr gh","M",21,187,78,"Hungary","HUN","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Backstroke","None","No"
1167,"Neil Agius","M",18,168,65,"Malta","MLT","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 400 metres Freestyle","None","No"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 100 metres Freestyle","None","No"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 200 metres Freestyle","Gold","Yes"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Gold","Yes"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Silver","Yes"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
1173,"Yannick Agnel","M",24,202,90,"France","FRA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 200 metres Freestyle","None","No"
1225,"Joo Paquete Aguiar","M",17,NA,NA,"Angola","ANG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 50 metres Freestyle","None","No"
1236,"Andrey Alberto Aguilar Komissarov","M",19,178,72,"Costa Rica","CRC","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 200 metres Breaststroke","None","No"
1236,"Andrey Alberto Aguilar Komissarov","M",19,178,72,"Costa Rica","CRC","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Butterfly","None","No"
1236,"Andrey Alberto Aguilar Komissarov","M",19,178,72,"Costa Rica","CRC","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 200 metres Butterfly","None","No"
1236,"Andrey Alberto Aguilar Komissarov","M",19,178,72,"Costa Rica","CRC","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 400 metres Individual Medley","None","No"
1236,"Andrey Alberto Aguilar Komissarov","M",23,178,72,"Costa Rica","CRC","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 200 metres Breaststroke","None","No"
1236,"Andrey Alberto Aguilar Komissarov","M",23,178,72,"Costa Rica","CRC","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 200 metres Butterfly","None","No"
1236,"Andrey Alberto Aguilar Komissarov","M",23,178,72,"Costa Rica","CRC","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 200 metres Individual Medley","None","No"
1252,"Luis Enrique Aguilar Brenes","M",16,179,71,"Costa Rica","CRC","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 100 metres Freestyle","None","No"
1257,"Maximiliano Aguilar Salazar","M",18,161,70,"Mexico","MEX","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 100 metres Butterfly","None","No"
1259,"Natalia Irina ""Natasha"" Aguilar Komissarova","F",18,163,54,"Costa Rica","CRC","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 200 metres Freestyle","None","No"
1259,"Natalia Irina ""Natasha"" Aguilar Komissarova","F",18,163,54,"Costa Rica","CRC","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","None","No"
1266,"Ana Carolina Aguilera","F",19,161,53,"Argentina","ARG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 200 metres Butterfly","None","No"
1304,"Gurn Fema gstsdttir","F",17,166,56,"Iceland","ISL","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Women's 100 metres Breaststroke","None","No"
1304,"Gurn Fema gstsdttir","F",17,166,56,"Iceland","ISL","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Women's 200 metres Breaststroke","None","No"
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","F",22,172,52,"United States","USA","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Gold","Yes"
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","F",22,172,52,"United States","USA","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Women's 100 metres Butterfly","Silver","Yes"
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","F",22,172,52,"United States","USA","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold","Yes"
1404,"Mohammed Abdul Elah Ahmed","M",23,170,61,"Iraq","IRQ","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 50 metres Freestyle","None","No"
1407,"Mumtaz Ahmed","M",34,178,79,"Pakistan","PAK","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 100 metres Freestyle","None","No"
1464,"Ai Yanhan","F",14,168,54,"China","CHN","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 200 metres Freestyle","None","No"
1464,"Ai Yanhan","F",14,168,54,"China","CHN","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","None","No"
1504,"Armi Ursula Airaksinen (-Bveryd)","F",18,166,59,"Sweden","SWE","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Women's 100 metres Butterfly","None","No"
1504,"Armi Ursula Airaksinen (-Bveryd)","F",18,166,59,"Sweden","SWE","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Women's 200 metres Butterfly","None","No"
