"id","health1","health2","health3","mcdonalds","chipotle","shake_shack","gender","age","marital_status","location","duration","rank_chipotle","rank_mcdonalds","rank_shake_shack"
74,3,1,1,1,4,5,"Female","30-39","never married","Queens",83.3494864684998,2,1,3
75,3,1,1,3,3,4,"Female","30-39","never married","Manhattan",184.990482114492,2,1,3
76,5,1,3,2,5,2,"Female","30-39","married","Manhattan",277.936343054335,3,1,2
77,1,1,1,3,3,2,"Female","30-39","married","Manhattan",152.761675968263,3,2,1
78,6,1,2,1,3,7,"Male","30-39","never married","Manhattan",266.969306971639,2,1,3
79,1,1,1,7,5,3,"Female","40-49","never married","Queens",159.181495884032,2,3,1
80,6,3,5,5,3,6,"Male","40-49","married","Manhattan",276.537589111925,1,2,3
81,4,1,4,7,3,4,"Female","40-49","married","Manhattan",180.026002305554,1,3,2
82,1,1,1,7,3,1,"Female","50-59","married","Brooklyn",191.067954326838,2,3,1
83,5,1,2,1,3,1,"Female","60 or over","never married","Manhattan",205.156537087263,3,1,2
84,6,5,5,5,2,4,"Male","18-29","never married","Manhattan",354.59924545371,1,3,2
85,3,1,1,1,4,1,"Male","50-59","never married","Brooklyn",260.762359050694,3,1,2
86,3,1,1,1,2,2,"Female","30-39","never married","Brooklyn",138.574086697047,2,1,3
87,6,1,1,3,1,7,"Male","40-49","never married","Manhattan",229.445978007301,1,2,3
88,1,1,1,6,3,3,"Male","18-29","married","New Jersey",343.450086260132,1,3,2
89,2,1,2,2,6,4,"Female","40-49","married","Manhattan",202.048960202266,3,1,2
90,4,1,4,4,7,1,"Male","30-39","never married","Manhattan",219.376461523817,3,2,1
91,1,1,1,7,2,4,"Female","40-49","never married","Brooklyn",360.073105448443,1,3,2
92,4,1,2,1,6,4,"Female","18-29","married","Brooklyn",184.097031943179,3,1,2
93,5,1,2,1,3,5,"Female","18-29","divorced","Brooklyn",153.134641813646,2,1,3
94,5,4,4,5,6,1,"Female","50-59","married","Manhattan",172.801620095567,3,2,1
95,5,1,3,2,5,1,"Female","40-49","never married","Brooklyn",179.877976534314,3,2,1
96,2,1,2,5,4,1,"Female","40-49","never married","Manhattan",193.788916466766,2,3,1
97,1,1,1,1,4,2,"Female","40-49","married","Brooklyn",181.56196628726,3,1,2
98,1,1,1,1,2,6,"Female","40-49","married","Brooklyn",190.271249560201,2,1,3
99,7,3,7,4,3,4,"Female","30-39","married","Manhattan",311.896080814118,1,2,3
100,6,3,5,7,3,4,"Female","40-49","married","Manhattan",293.318737777376,1,3,2
101,5,2,5,7,3,7,"Female","40-49","married","Manhattan",315.308227675087,1,2,3
102,7,6,6,5,5,4,"Male","60 or over","married","Manhattan",307.446510935314,3,2,1
103,5,1,3,2,1,2,"Female","50-59","married","Manhattan",264.300447567207,1,2,3
104,2,1,1,2,5,4,"Female","40-49","married","Manhattan",198.354966906838,3,1,2
105,2,2,2,4,5,1,"Male","30-39","never married","New Jersey",274.802079990825,3,2,1
106,7,5,5,5,5,6,"Female","50-59","never married","Brooklyn",189.030410461573,2,1,3
107,4,1,3,2,7,3,"Female","18-29","married","Manhattan",161.738517235052,3,1,2
108,6,2,3,2,4,2,"Female","30-39","married","Manhattan",96.9354225752116,3,1,2
109,4,3,3,2,2,2,"Female","40-49","divorced","New Jersey",312.160804628513,2,1,3
110,2,1,2,6,3,2,"Female","50-59","separated","Manhattan",210.751390930917,2,3,1
111,3,2,2,6,6,5,"Female","40-49","never married","Queens",229.000591553151,3,2,1
112,2,1,2,5,5,7,"Female","50-59","never married","Queens",259.522192660349,2,1,3
113,7,4,4,2,5,6,"Female","50-59","married","Queens",134.749400093223,2,1,3
114,6,4,6,7,1,6,"Male","18-29","never married","New Jersey",174.585540428965,1,3,2
115,4,1,4,4,1,7,"Female","30-39","married","Manhattan",222.503544107082,1,2,3
116,4,1,4,4,6,4,"Female","50-59","never married","New Jersey",218.092906669309,3,1,2
117,5,1,2,1,6,3,"Female","40-49","never married","Manhattan",272.82954640002,3,1,2
118,4,1,1,1,3,2,"Female","18-29","never married","Brooklyn",256.382664655777,3,1,2
119,7,2,2,1,7,5,"Female","50-59","married","Manhattan",183.526804020428,3,1,2
120,4,1,3,5,4,4,"Female","40-49","never married","Queens",127.836678258735,1,3,2
121,4,1,1,1,4,1,"Male","18-29","never married","Brooklyn",199.331975324727,3,1,2
122,7,1,3,1,3,5,"Female","30-39","married","New Jersey",187.433133026359,2,1,3
123,6,4,5,7,1,6,"Male","18-29","never married","Manhattan",264.204446797475,1,3,2
124,2,2,2,7,6,2,"Female","30-39","separated","Queens",140.331363023577,2,3,1
125,4,1,1,3,5,5,"Female","18-29","married","Manhattan",132.938543045287,2,1,3
126,5,2,4,6,7,2,"Male","30-39","married","Brooklyn",164.549445573559,3,2,1
127,1,1,1,7,5,1,"Male","40-49","married","Queens",252.295710649734,2,3,1
128,2,1,1,3,7,3,"Male","40-49","never married","New Jersey",157.92347285745,3,1,2
129,6,1,3,2,6,4,"Female","40-49","never married","Manhattan",143.972508693043,3,1,2
130,5,1,3,2,7,7,"Female","18-29","married","Queens",210.843293605874,2,1,3
131,7,2,3,1,5,3,"Female","18-29","married","Manhattan",220.546297145231,3,1,2
132,4,2,4,4,4,5,"Female","40-49","married","Manhattan",351.046544517518,2,1,3
133,1,1,1,3,2,2,"Female","18-29","separated","Manhattan",322.908386500513,1,3,2
134,2,1,1,1,2,5,"Male","40-49","married","Manhattan",159.832218654667,2,1,3
135,6,2,5,5,2,4,"Male","30-39","separated","Brooklyn",151.93825434722,1,3,2
136,1,1,1,6,2,3,"Female","50-59","married","Brooklyn",171.798250211755,1,3,2
137,4,1,2,2,3,5,"Male","18-29","never married","Brooklyn",273.933465544978,2,1,3
138,2,1,2,2,7,6,"Female","30-39","never married","Queens",145.240046210894,3,1,2
139,1,1,1,4,2,3,"Female","18-29","married","Manhattan",261.32535640602,1,3,2
140,4,1,1,3,1,3,"Male","40-49","never married","New Jersey",260.223202706519,1,2,3
141,4,1,1,1,6,4,"Male","40-49","married","Queens",134.197369670632,3,1,2
142,5,1,1,3,4,3,"Female","50-59","married","Queens",103.539245627151,3,1,2
143,1,1,1,5,4,4,"Male","30-39","married","Manhattan",114.01915155143,1,3,2
144,6,5,6,7,4,7,"Female","18-29","never married","Manhattan",112.977593526503,1,2,3
145,2,1,1,3,7,3,"Male","18-29","never married","Manhattan",289.063725443112,3,1,2
146,7,3,3,2,1,5,"Female","30-39","never married","Queens",343.517700141938,1,2,3
147,6,1,1,3,1,2,"Female","40-49","divorced","Brooklyn",116.838109883244,1,3,2
148,7,3,3,1,5,4,"Male","30-39","never married","Queens",150.715718510005,3,1,2
149,5,1,1,3,6,2,"Female","18-29","never married","Queens",266.965237394663,3,2,1
150,1,1,1,1,3,1,"Male","40-49","married","Brooklyn",171.671135012184,3,1,2
151,7,1,1,3,3,1,"Male","30-39","never married","New Jersey",145.284033458098,3,2,1
152,5,1,2,1,5,5,"Female","30-39","never married","Queens",205.614972739243,2,1,3
153,6,2,4,2,4,5,"Female","30-39","married","Manhattan",187.24567093432,2,1,3
154,6,2,5,6,3,7,"Male","18-29","married","Manhattan",163.286021613011,1,2,3
155,5,3,4,5,2,6,"Male","40-49","married","New Jersey",274.879165363812,1,2,3
156,3,2,3,7,6,4,"Male","40-49","married","Manhattan",200.082292629147,2,3,1
157,4,4,4,4,2,4,"Male","40-49","separated","Brooklyn",177.758881361623,1,2,3
158,4,3,3,6,5,5,"Female","18-29","married","Manhattan",174.838432482675,1,3,2
159,1,1,1,1,5,4,"Female","30-39","married","Queens",188.335419273733,3,1,2
160,7,4,5,6,1,4,"Male","40-49","separated","Brooklyn",274.044015439147,1,3,2
161,1,1,1,7,3,4,"Female","40-49","married","Manhattan",183.920156466509,1,3,2
162,4,1,1,3,5,5,"Female","30-39","never married","Manhattan",271.006530511382,2,1,3
163,6,1,1,3,7,2,"Male","40-49","never married","Manhattan",170.760898818548,3,2,1
164,7,2,3,1,1,4,"Female","40-49","married","Manhattan",200.022636012014,2,1,3
165,3,1,1,3,7,4,"Female","40-49","married","Brooklyn",155.475782841878,3,1,2
166,2,1,2,5,3,2,"Female","60 or over","married","Queens",171.492050887756,2,3,1
167,5,2,2,1,1,2,"Male","18-29","never married","Brooklyn",190.281234049901,2,1,3
168,2,2,2,7,4,6,"Female","40-49","married","Queens",142.325171359542,1,3,2
169,7,2,6,5,4,5,"Female","30-39","divorced","New Jersey",205.796528267116,1,2,3
170,7,3,5,6,4,2,"Male","40-49","never married","Brooklyn",210.2284529901,2,3,1
171,4,3,4,4,6,7,"Male","40-49","never married","Queens",262.702833877194,2,1,3
172,1,1,1,3,4,4,"Male","30-39","married","Manhattan",207.326561733996,2,1,3
173,7,3,4,2,4,1,"Male","18-29","never married","Queens",255.305674891726,3,2,1
174,3,1,3,7,5,2,"Female","18-29","divorced","Manhattan",224.201287183291,2,3,1
175,6,1,1,3,4,6,"Male","40-49","never married","Queens",143.0149860167,2,1,3
176,1,1,1,2,4,6,"Female","60 or over","never married","Brooklyn",235.078509746761,2,1,3
177,1,1,1,6,3,5,"Female","40-49","never married","Manhattan",214.238887643164,1,3,2
178,7,5,5,6,7,7,"Female","40-49","never married","Queens",221.369488671189,2,1,3
179,2,1,2,7,4,4,"Female","18-29","never married","Queens",178.890560636995,1,3,2
180,5,2,2,1,6,6,"Female","40-49","married","Manhattan",197.120735347807,2,1,3
181,4,1,1,3,3,2,"Female","30-39","married","Brooklyn",211.715609289851,3,2,1
182,2,1,2,7,3,3,"Female","18-29","never married","Manhattan",351.252362882306,1,3,2
183,3,3,3,7,4,2,"Female","18-29","never married","Manhattan",209.611547731893,2,3,1
184,4,2,3,5,3,7,"Female","18-29","never married","Manhattan",215.251245459425,1,2,3
185,7,1,6,5,7,4,"Female","40-49","married","Brooklyn",170.425921396226,3,2,1
186,1,1,1,7,3,6,"Female","40-49","married","Queens",168.673351287181,1,3,2
187,1,1,1,3,4,1,"Female","30-39","married","Manhattan",121.832478075662,3,2,1
188,2,1,2,5,1,6,"Male","40-49","married","Manhattan",338.986160830531,1,2,3
189,3,1,1,3,6,2,"Female","18-29","never married","Brooklyn",186.56702177856,3,2,1
190,3,2,3,7,5,4,"Female","30-39","never married","Manhattan",157.356035312305,2,3,1
191,6,2,4,2,7,3,"Female","30-39","married","Manhattan",199.984021318068,3,1,2
192,1,1,1,6,7,5,"Female","18-29","never married","Queens",217.819409332062,3,2,1
193,3,1,1,3,1,6,"Female","18-29","never married","Brooklyn",184.140185346208,1,2,3
194,2,1,1,2,5,7,"Female","60 or over","never married","Manhattan",166.196423378718,2,1,3
195,6,2,5,5,5,5,"Female","50-59","never married","Queens",159.867589114749,2,1,3
196,1,1,1,3,3,6,"Male","40-49","separated","Manhattan",187.942054983745,2,1,3
197,1,1,1,3,4,5,"Female","30-39","never married","Manhattan",220.749787824487,2,1,3
198,7,1,6,5,1,6,"Female","40-49","married","Manhattan",217.265033038538,1,2,3
199,3,1,1,3,1,6,"Female","40-49","married","Queens",185.446707545996,1,2,3
200,4,3,4,5,7,2,"Female","40-49","never married","Manhattan",179.514853813296,3,2,1
201,4,1,1,1,7,2,"Male","30-39","never married","Manhattan",160.98252874096,3,1,2
202,5,2,2,1,3,1,"Female","18-29","married","Manhattan",141.743447221656,3,1,2
203,1,1,1,1,7,2,"Male","30-39","married","Brooklyn",155.711332827731,3,1,2
204,7,3,3,2,3,2,"Female","18-29","never married","Brooklyn",213.060267484073,3,1,2
205,3,1,1,1,3,3,"Female","40-49","never married","Manhattan",149.44685417337,2,1,3
206,7,3,4,2,2,2,"Male","30-39","never married","Manhattan",255.190593700861,2,1,3
207,7,5,7,4,4,1,"Female","40-49","married","Brooklyn",155.387327430941,3,2,1
208,7,1,4,2,6,3,"Female","40-49","never married","Brooklyn",153.151915050751,3,1,2
209,4,1,1,3,5,2,"Female","18-29","never married","New Jersey",182.716211254035,3,2,1
210,5,5,5,7,6,2,"Female","18-29","married","New Jersey",127.064520333056,2,3,1
211,5,1,1,3,1,5,"Female","40-49","never married","Manhattan",207.409578729783,1,2,3
212,7,1,3,1,4,3,"Male","30-39","never married","Manhattan",165.344459419108,3,1,2
213,2,2,2,2,4,2,"Male","40-49","married","Manhattan",246.007962116571,3,1,2
214,1,1,1,2,7,7,"Female","40-49","married","Manhattan",243.633044861501,2,1,3
215,1,1,1,2,2,2,"Female","40-49","never married","Brooklyn",295.124339907268,2,1,3
216,3,1,2,2,5,6,"Female","50-59","married","Manhattan",179.423267151774,2,1,3
217,4,1,2,1,5,4,"Male","18-29","never married","New Jersey",187.656337478099,3,1,2
218,1,1,1,3,3,7,"Female","50-59","separated","Brooklyn",151.241605519979,2,1,3
219,3,1,2,2,4,5,"Male","18-29","married","Manhattan",319.788543863016,2,1,3
220,6,2,2,1,5,6,"Female","50-59","never married","Manhattan",265.392818508697,2,1,3
221,4,1,1,1,5,6,"Female","40-49","married","Brooklyn",78.7553800135143,2,1,3
222,5,4,5,4,5,4,"Female","18-29","married","Brooklyn",280.215348802021,3,1,2
223,7,5,5,6,3,5,"Female","18-29","never married","Queens",121.435354774632,1,3,2
224,4,4,4,4,6,7,"Female","30-39","married","Manhattan",192.221674636143,2,1,3
225,6,2,6,7,6,7,"Male","40-49","never married","Queens",263.547569665691,1,2,3
226,4,2,3,2,4,1,"Male","60 or over","married","New Jersey",233.40603233981,3,2,1
227,2,1,1,1,7,2,"Female","30-39","never married","Queens",206.444045298556,3,1,2
228,4,1,1,3,5,5,"Female","30-39","never married","Manhattan",308.786975115904,2,1,3
229,4,2,3,2,5,4,"Female","40-49","never married","Brooklyn",161.241301817856,3,1,2
230,2,1,1,2,1,2,"Male","18-29","married","Manhattan",119.162723005047,1,2,3
231,6,3,5,5,6,5,"Male","30-39","married","Brooklyn",173.701641765403,3,1,2
232,6,1,3,2,7,3,"Female","50-59","married","Queens",207.048990166385,3,1,2
233,2,1,1,2,1,6,"Female","50-59","separated","Manhattan",206.494831354555,1,2,3
234,4,1,2,1,2,4,"Male","30-39","married","Queens",156.396957858637,2,1,3
235,3,2,2,2,6,3,"Male","40-49","never married","Brooklyn",310.698717552902,3,1,2
236,5,1,3,2,3,5,"Female","30-39","never married","Manhattan",142.886727810098,2,1,3
237,5,2,3,2,3,3,"Female","18-29","married","Queens",146.864425560052,2,1,3
238,4,1,2,1,7,7,"Female","30-39","never married","Queens",210.778721647928,2,1,3
239,5,2,3,2,4,7,"Female","40-49","married","Manhattan",183.497123030301,2,1,3
240,2,1,1,1,4,1,"Male","18-29","never married","Manhattan",166.656420846196,3,1,2
241,6,1,2,1,3,2,"Female","50-59","divorced","Queens",201.899526469941,3,1,2
242,2,1,2,4,2,4,"Male","40-49","never married","New Jersey",175.924356306112,1,2,3
243,3,1,3,5,5,5,"Male","50-59","never married","Manhattan",238.953141477558,2,1,3
244,3,1,1,1,7,7,"Female","30-39","never married","Brooklyn",173.912902600911,2,1,3
245,3,1,1,3,5,6,"Male","40-49","never married","Brooklyn",244.086776522459,2,1,3
246,7,5,5,5,6,2,"Male","18-29","never married","Manhattan",378.694660750103,3,2,1
247,3,2,2,6,3,3,"Male","30-39","married","Queens",167.571062539185,1,3,2
248,4,1,1,3,6,1,"Male","50-59","married","Queens",377.908004195471,3,2,1
249,2,1,1,2,4,5,"Female","30-39","never married","Queens",199.293901522826,2,1,3
250,1,1,1,5,3,6,"Female","50-59","married","Manhattan",169.637492271801,1,2,3
251,7,2,3,1,3,5,"Male","40-49","married","Brooklyn",191.128546069601,2,1,3
252,4,2,2,2,4,7,"Female","50-59","never married","Manhattan",222.037199084812,2,1,3
253,6,2,2,1,5,2,"Male","40-49","married","Manhattan",150.074449953403,3,1,2
254,6,5,5,5,3,2,"Female","18-29","never married","Queens",180.392120728621,2,3,1
255,6,3,4,6,3,6,"Male","18-29","never married","Manhattan",168.333053985599,1,2,3
256,7,2,4,2,4,2,"Male","18-29","married","Manhattan",187.649368844664,3,1,2
257,7,2,4,2,7,1,"Female","30-39","married","Brooklyn",257.018834240531,3,2,1
258,6,6,6,4,5,5,"Male","40-49","never married","New Jersey",218.412243496697,2,1,3
259,2,1,1,3,4,2,"Female","18-29","never married","Manhattan",172.79140076197,3,2,1
260,4,4,4,4,3,4,"Male","18-29","never married","New Jersey",195.446885409344,1,2,3
261,6,2,4,6,6,2,"Female","18-29","married","Queens",117.914916368836,3,2,1
262,5,1,1,3,1,4,"Female","40-49","married","Manhattan",124.554383584531,1,2,3
263,6,2,2,1,7,4,"Female","40-49","never married","Manhattan",224.483615353414,3,1,2
264,7,2,6,5,6,3,"Female","30-39","married","Queens",334.617767351192,3,2,1
265,2,1,2,6,5,1,"Female","30-39","married","Brooklyn",198.998071213358,2,3,1
266,2,2,2,7,3,7,"Female","30-39","never married","Queens",163.85180530503,1,2,3
267,7,1,5,6,3,6,"Female","40-49","never married","Manhattan",138.058216241923,1,2,3
268,5,3,3,2,1,3,"Female","40-49","married","Brooklyn",256.532664851477,1,2,3
269,3,1,1,1,4,1,"Female","40-49","never married","Queens",262.915637179465,3,1,2
270,6,5,6,4,3,2,"Male","50-59","never married","Queens",146.472177851674,2,3,1
271,4,4,4,4,4,2,"Male","50-59","never married","Manhattan",241.878190679152,3,2,1
272,3,1,2,2,5,5,"Male","40-49","married","Queens",115.476600215562,2,1,3
273,3,1,2,1,4,4,"Male","30-39","divorced","Manhattan",243.448568979429,2,1,3
274,4,1,1,3,3,3,"Female","40-49","never married","Queens",235.424096426661,2,1,3
275,2,1,1,3,6,4,"Male","18-29","never married","Brooklyn",255.330757135694,3,1,2
276,4,2,3,2,3,6,"Female","18-29","never married","Queens",208.250698732636,2,1,3
277,3,1,3,5,5,5,"Female","30-39","never married","Queens",132.191855708905,2,1,3
278,2,1,1,3,1,4,"Male","30-39","never married","Manhattan",167.411701101984,1,2,3
279,2,1,2,6,4,3,"Male","18-29","married","New Jersey",160.550926220444,2,3,1
280,5,1,1,3,1,2,"Female","40-49","married","Manhattan",282.017834768291,1,3,2
281,3,1,2,2,1,4,"Female","18-29","married","New Jersey",258.998431623176,1,2,3
282,5,2,3,2,3,4,"Male","18-29","never married","Manhattan",294.992345964385,2,1,3
283,2,1,1,2,2,1,"Male","18-29","married","Manhattan",248.516445236139,3,2,1
284,3,1,1,1,5,7,"Female","40-49","married","Queens",193.185522160181,2,1,3
285,6,1,5,6,3,5,"Male","18-29","married","Manhattan",121.006142731677,1,3,2
286,4,1,3,5,3,2,"Male","40-49","never married","Manhattan",213.626772816343,2,3,1
287,4,2,3,6,3,4,"Female","40-49","never married","Manhattan",191.477739686933,1,3,2
288,5,3,5,7,4,4,"Female","30-39","never married","Queens",132.050431230567,1,3,2
289,7,5,7,4,3,3,"Male","40-49","married","New Jersey",280.369454091235,1,3,2
290,1,1,1,7,1,3,"Female","18-29","never married","Manhattan",164.39761647893,1,3,2
291,5,1,1,3,5,3,"Female","40-49","married","Manhattan",136.815404151389,3,1,2
292,5,2,3,2,4,1,"Female","40-49","divorced","Manhattan",209.938761531804,3,2,1
293,7,2,5,6,2,5,"Male","30-39","never married","Manhattan",195.842315386288,1,3,2
294,7,1,2,3,6,7,"Female","18-29","married","Manhattan",225.29809899562,2,1,3
295,2,2,2,6,4,6,"Male","18-29","never married","Brooklyn",254.687945187224,1,2,3
296,3,3,3,4,7,4,"Female","50-59","married","Manhattan",304.238084005744,3,1,2
297,2,1,1,3,1,5,"Female","40-49","never married","Queens",264.654345528356,1,2,3
298,7,1,1,3,3,2,"Male","30-39","never married","Manhattan",167.89792926414,3,2,1
299,5,1,5,7,3,4,"Female","40-49","married","Queens",196.913250849862,1,3,2
300,6,3,5,5,5,4,"Female","18-29","married","Queens",296.305772701639,3,2,1
301,7,1,5,6,3,4,"Female","30-39","never married","New Jersey",238.375165761544,1,3,2
302,7,4,5,6,1,7,"Male","40-49","never married","Queens",126.189098127546,1,2,3
303,4,1,4,7,3,3,"Male","18-29","never married","New Jersey",335.866308418505,1,3,2
304,2,2,2,6,3,4,"Female","30-39","married","Manhattan",268.625766293738,1,3,2
305,7,2,3,1,2,4,"Male","40-49","married","Brooklyn",260.25012062616,2,1,3
306,6,2,5,7,7,2,"Male","50-59","never married","New Jersey",195.572129678244,3,2,1
307,2,1,2,4,2,2,"Female","30-39","never married","New Jersey",224.344361621512,1,3,2
308,1,1,1,3,6,6,"Female","40-49","never married","New Jersey",284.155032607667,2,1,3
309,7,4,5,6,2,6,"Female","30-39","married","Manhattan",151.767605416459,1,2,3
310,2,2,2,7,4,4,"Female","30-39","married","Queens",184.652424493867,1,3,2
311,1,1,1,1,5,4,"Male","50-59","never married","Manhattan",312.352875291147,3,1,2
312,3,1,1,1,6,4,"Male","30-39","separated","Queens",240.652830194946,3,1,2
313,2,1,2,5,4,1,"Male","30-39","married","New Jersey",317.648588965792,2,3,1
314,7,2,3,2,1,7,"Female","40-49","never married","Manhattan",297.853230555444,1,2,3
315,5,2,2,1,3,7,"Male","18-29","never married","Manhattan",259.570469466114,2,1,3
316,4,1,3,6,1,6,"Female","30-39","never married","Manhattan",322.730870901645,1,2,3
317,1,1,1,5,4,2,"Female","50-59","never married","Brooklyn",249.378526129961,2,3,1
318,3,1,3,5,4,3,"Female","50-59","married","Queens",285.316308765509,2,3,1
319,4,2,2,2,1,2,"Female","18-29","married","Manhattan",206.42588990228,1,2,3
