"id","health1","health2","health3","mcdonalds","chipotle","shake_shack","gender","age","marital_status","location","rank_chipotle","rank_mcdonalds","rank_shake_shack"
124,2,2,2,7,6,2,"Female","30-39","separated","Queens",2,3,1
125,4,1,1,3,5,5,"Female","18-29","married","Manhattan",2,1,3
126,5,2,4,6,7,2,"Male","30-39","married","Brooklyn",3,2,1
127,1,1,1,7,5,1,"Male","40-49","married","Queens",2,3,1
128,2,1,1,3,7,3,"Male","40-49","never married","New Jersey",3,1,2
129,6,1,3,2,6,4,"Female","40-49","never married","Manhattan",3,1,2
130,5,1,3,2,7,7,"Female","18-29","married","Queens",2,1,3
131,7,2,3,1,5,3,"Female","18-29","married","Manhattan",3,1,2
132,4,2,4,4,4,5,"Female","40-49","married","Manhattan",2,1,3
133,1,1,1,3,2,2,"Female","18-29","separated","Manhattan",1,3,2
134,2,1,1,1,2,5,"Male","40-49","married","Manhattan",2,1,3
135,6,2,5,5,2,4,"Male","30-39","separated","Brooklyn",1,3,2
136,1,1,1,6,2,3,"Female","50-59","married","Brooklyn",1,3,2
137,4,1,2,2,3,5,"Male","18-29","never married","Brooklyn",2,1,3
138,2,1,2,2,7,6,"Female","30-39","never married","Queens",3,1,2
139,1,1,1,4,2,3,"Female","18-29","married","Manhattan",1,3,2
140,4,1,1,3,1,3,"Male","40-49","never married","New Jersey",1,2,3
141,4,1,1,1,6,4,"Male","40-49","married","Queens",3,1,2
142,5,1,1,3,4,3,"Female","50-59","married","Queens",3,1,2
143,1,1,1,5,4,4,"Male","30-39","married","Manhattan",1,3,2
144,6,5,6,7,4,7,"Female","18-29","never married","Manhattan",1,2,3
145,2,1,1,3,7,3,"Male","18-29","never married","Manhattan",3,1,2
146,7,3,3,2,1,5,"Female","30-39","never married","Queens",1,2,3
147,6,1,1,3,1,2,"Female","40-49","divorced","Brooklyn",1,3,2
148,7,3,3,1,5,4,"Male","30-39","never married","Queens",3,1,2
149,5,1,1,3,6,2,"Female","18-29","never married","Queens",3,2,1
150,1,1,1,1,3,1,"Male","40-49","married","Brooklyn",3,1,2
151,7,1,1,3,3,1,"Male","30-39","never married","New Jersey",3,2,1
152,5,1,2,1,5,5,"Female","30-39","never married","Queens",2,1,3
153,6,2,4,2,4,5,"Female","30-39","married","Manhattan",2,1,3
154,6,2,5,6,3,7,"Male","18-29","married","Manhattan",1,2,3
155,5,3,4,5,2,6,"Male","40-49","married","New Jersey",1,2,3
156,3,2,3,7,6,4,"Male","40-49","married","Manhattan",2,3,1
157,4,4,4,4,2,4,"Male","40-49","separated","Brooklyn",1,2,3
158,4,3,3,6,5,5,"Female","18-29","married","Manhattan",1,3,2
159,1,1,1,1,5,4,"Female","30-39","married","Queens",3,1,2
160,7,4,5,6,1,4,"Male","40-49","separated","Brooklyn",1,3,2
161,1,1,1,7,3,4,"Female","40-49","married","Manhattan",1,3,2
162,4,1,1,3,5,5,"Female","30-39","never married","Manhattan",2,1,3
163,6,1,1,3,7,2,"Male","40-49","never married","Manhattan",3,2,1
164,7,2,3,1,1,4,"Female","40-49","married","Manhattan",2,1,3
165,3,1,1,3,7,4,"Female","40-49","married","Brooklyn",3,1,2
166,2,1,2,5,3,2,"Female","60 or over","married","Queens",2,3,1
167,5,2,2,1,1,2,"Male","18-29","never married","Brooklyn",2,1,3
168,2,2,2,7,4,6,"Female","40-49","married","Queens",1,3,2
169,7,2,6,5,4,5,"Female","30-39","divorced","New Jersey",1,2,3
170,7,3,5,6,4,2,"Male","40-49","never married","Brooklyn",2,3,1
171,4,3,4,4,6,7,"Male","40-49","never married","Queens",2,1,3
172,1,1,1,3,4,4,"Male","30-39","married","Manhattan",2,1,3
173,7,3,4,2,4,1,"Male","18-29","never married","Queens",3,2,1
174,3,1,3,7,5,2,"Female","18-29","divorced","Manhattan",2,3,1
175,6,1,1,3,4,6,"Male","40-49","never married","Queens",2,1,3
176,1,1,1,2,4,6,"Female","60 or over","never married","Brooklyn",2,1,3
177,1,1,1,6,3,5,"Female","40-49","never married","Manhattan",1,3,2
178,7,5,5,6,7,7,"Female","40-49","never married","Queens",2,1,3
179,2,1,2,7,4,4,"Female","18-29","never married","Queens",1,3,2
180,5,2,2,1,6,6,"Female","40-49","married","Manhattan",2,1,3
181,4,1,1,3,3,2,"Female","30-39","married","Brooklyn",3,2,1
182,2,1,2,7,3,3,"Female","18-29","never married","Manhattan",1,3,2
183,3,3,3,7,4,2,"Female","18-29","never married","Manhattan",2,3,1
184,4,2,3,5,3,7,"Female","18-29","never married","Manhattan",1,2,3
185,7,1,6,5,7,4,"Female","40-49","married","Brooklyn",3,2,1
186,1,1,1,7,3,6,"Female","40-49","married","Queens",1,3,2
187,1,1,1,3,4,1,"Female","30-39","married","Manhattan",3,2,1
188,2,1,2,5,1,6,"Male","40-49","married","Manhattan",1,2,3
189,3,1,1,3,6,2,"Female","18-29","never married","Brooklyn",3,2,1
190,3,2,3,7,5,4,"Female","30-39","never married","Manhattan",2,3,1
191,6,2,4,2,7,3,"Female","30-39","married","Manhattan",3,1,2
192,1,1,1,6,7,5,"Female","18-29","never married","Queens",3,2,1
193,3,1,1,3,1,6,"Female","18-29","never married","Brooklyn",1,2,3
194,2,1,1,2,5,7,"Female","60 or over","never married","Manhattan",2,1,3
195,6,2,5,5,5,5,"Female","50-59","never married","Queens",2,1,3
196,1,1,1,3,3,6,"Male","40-49","separated","Manhattan",2,1,3
197,1,1,1,3,4,5,"Female","30-39","never married","Manhattan",2,1,3
198,7,1,6,5,1,6,"Female","40-49","married","Manhattan",1,2,3
199,3,1,1,3,1,6,"Female","40-49","married","Queens",1,2,3
200,4,3,4,5,7,2,"Female","40-49","never married","Manhattan",3,2,1
201,4,1,1,1,7,2,"Male","30-39","never married","Manhattan",3,1,2
202,5,2,2,1,3,1,"Female","18-29","married","Manhattan",3,1,2
203,1,1,1,1,7,2,"Male","30-39","married","Brooklyn",3,1,2
204,7,3,3,2,3,2,"Female","18-29","never married","Brooklyn",3,1,2
205,3,1,1,1,3,3,"Female","40-49","never married","Manhattan",2,1,3
206,7,3,4,2,2,2,"Male","30-39","never married","Manhattan",2,1,3
207,7,5,7,4,4,1,"Female","40-49","married","Brooklyn",3,2,1
208,7,1,4,2,6,3,"Female","40-49","never married","Brooklyn",3,1,2
209,4,1,1,3,5,2,"Female","18-29","never married","New Jersey",3,2,1
210,5,5,5,7,6,2,"Female","18-29","married","New Jersey",2,3,1
211,5,1,1,3,1,5,"Female","40-49","never married","Manhattan",1,2,3
212,7,1,3,1,4,3,"Male","30-39","never married","Manhattan",3,1,2
213,2,2,2,2,4,2,"Male","40-49","married","Manhattan",3,1,2
214,1,1,1,2,7,7,"Female","40-49","married","Manhattan",2,1,3
215,1,1,1,2,2,2,"Female","40-49","never married","Brooklyn",2,1,3
216,3,1,2,2,5,6,"Female","50-59","married","Manhattan",2,1,3
217,4,1,2,1,5,4,"Male","18-29","never married","New Jersey",3,1,2
218,1,1,1,3,3,7,"Female","50-59","separated","Brooklyn",2,1,3
219,3,1,2,2,4,5,"Male","18-29","married","Manhattan",2,1,3
220,6,2,2,1,5,6,"Female","50-59","never married","Manhattan",2,1,3
221,4,1,1,1,5,6,"Female","40-49","married","Brooklyn",2,1,3
222,5,4,5,4,5,4,"Female","18-29","married","Brooklyn",3,1,2
223,7,5,5,6,3,5,"Female","18-29","never married","Queens",1,3,2
224,4,4,4,4,6,7,"Female","30-39","married","Manhattan",2,1,3
225,6,2,6,7,6,7,"Male","40-49","never married","Queens",1,2,3
226,4,2,3,2,4,1,"Male","60 or over","married","New Jersey",3,2,1
227,2,1,1,1,7,2,"Female","30-39","never married","Queens",3,1,2
228,4,1,1,3,5,5,"Female","30-39","never married","Manhattan",2,1,3
229,4,2,3,2,5,4,"Female","40-49","never married","Brooklyn",3,1,2
230,2,1,1,2,1,2,"Male","18-29","married","Manhattan",1,2,3
231,6,3,5,5,6,5,"Male","30-39","married","Brooklyn",3,1,2
232,6,1,3,2,7,3,"Female","50-59","married","Queens",3,1,2
233,2,1,1,2,1,6,"Female","50-59","separated","Manhattan",1,2,3
234,4,1,2,1,2,4,"Male","30-39","married","Queens",2,1,3
235,3,2,2,2,6,3,"Male","40-49","never married","Brooklyn",3,1,2
236,5,1,3,2,3,5,"Female","30-39","never married","Manhattan",2,1,3
237,5,2,3,2,3,3,"Female","18-29","married","Queens",2,1,3
238,4,1,2,1,7,7,"Female","30-39","never married","Queens",2,1,3
239,5,2,3,2,4,7,"Female","40-49","married","Manhattan",2,1,3
240,2,1,1,1,4,1,"Male","18-29","never married","Manhattan",3,1,2
241,6,1,2,1,3,2,"Female","50-59","divorced","Queens",3,1,2
242,2,1,2,4,2,4,"Male","40-49","never married","New Jersey",1,2,3
243,3,1,3,5,5,5,"Male","50-59","never married","Manhattan",2,1,3
244,3,1,1,1,7,7,"Female","30-39","never married","Brooklyn",2,1,3
245,3,1,1,3,5,6,"Male","40-49","never married","Brooklyn",2,1,3
246,7,5,5,5,6,2,"Male","18-29","never married","Manhattan",3,2,1
247,3,2,2,6,3,3,"Male","30-39","married","Queens",1,3,2
248,4,1,1,3,6,1,"Male","50-59","married","Queens",3,2,1
249,2,1,1,2,4,5,"Female","30-39","never married","Queens",2,1,3
250,1,1,1,5,3,6,"Female","50-59","married","Manhattan",1,2,3
251,7,2,3,1,3,5,"Male","40-49","married","Brooklyn",2,1,3
252,4,2,2,2,4,7,"Female","50-59","never married","Manhattan",2,1,3
253,6,2,2,1,5,2,"Male","40-49","married","Manhattan",3,1,2
254,6,5,5,5,3,2,"Female","18-29","never married","Queens",2,3,1
255,6,3,4,6,3,6,"Male","18-29","never married","Manhattan",1,2,3
256,7,2,4,2,4,2,"Male","18-29","married","Manhattan",3,1,2
257,7,2,4,2,7,1,"Female","30-39","married","Brooklyn",3,2,1
258,6,6,6,4,5,5,"Male","40-49","never married","New Jersey",2,1,3
259,2,1,1,3,4,2,"Female","18-29","never married","Manhattan",3,2,1
260,4,4,4,4,3,4,"Male","18-29","never married","New Jersey",1,2,3
261,6,2,4,6,6,2,"Female","18-29","married","Queens",3,2,1
262,5,1,1,3,1,4,"Female","40-49","married","Manhattan",1,2,3
263,6,2,2,1,7,4,"Female","40-49","never married","Manhattan",3,1,2
264,7,2,6,5,6,3,"Female","30-39","married","Queens",3,2,1
265,2,1,2,6,5,1,"Female","30-39","married","Brooklyn",2,3,1
266,2,2,2,7,3,7,"Female","30-39","never married","Queens",1,2,3
267,7,1,5,6,3,6,"Female","40-49","never married","Manhattan",1,2,3
268,5,3,3,2,1,3,"Female","40-49","married","Brooklyn",1,2,3
269,3,1,1,1,4,1,"Female","40-49","never married","Queens",3,1,2
270,6,5,6,4,3,2,"Male","50-59","never married","Queens",2,3,1
271,4,4,4,4,4,2,"Male","50-59","never married","Manhattan",3,2,1
272,3,1,2,2,5,5,"Male","40-49","married","Queens",2,1,3
273,3,1,2,1,4,4,"Male","30-39","divorced","Manhattan",2,1,3
274,4,1,1,3,3,3,"Female","40-49","never married","Queens",2,1,3
275,2,1,1,3,6,4,"Male","18-29","never married","Brooklyn",3,1,2
276,4,2,3,2,3,6,"Female","18-29","never married","Queens",2,1,3
277,3,1,3,5,5,5,"Female","30-39","never married","Queens",2,1,3
278,2,1,1,3,1,4,"Male","30-39","never married","Manhattan",1,2,3
279,2,1,2,6,4,3,"Male","18-29","married","New Jersey",2,3,1
280,5,1,1,3,1,2,"Female","40-49","married","Manhattan",1,3,2
281,3,1,2,2,1,4,"Female","18-29","married","New Jersey",1,2,3
282,5,2,3,2,3,4,"Male","18-29","never married","Manhattan",2,1,3
283,2,1,1,2,2,1,"Male","18-29","married","Manhattan",3,2,1
284,3,1,1,1,5,7,"Female","40-49","married","Queens",2,1,3
285,6,1,5,6,3,5,"Male","18-29","married","Manhattan",1,3,2
286,4,1,3,5,3,2,"Male","40-49","never married","Manhattan",2,3,1
287,4,2,3,6,3,4,"Female","40-49","never married","Manhattan",1,3,2
288,5,3,5,7,4,4,"Female","30-39","never married","Queens",1,3,2
289,7,5,7,4,3,3,"Male","40-49","married","New Jersey",1,3,2
290,1,1,1,7,1,3,"Female","18-29","never married","Manhattan",1,3,2
291,5,1,1,3,5,3,"Female","40-49","married","Manhattan",3,1,2
292,5,2,3,2,4,1,"Female","40-49","divorced","Manhattan",3,2,1
293,7,2,5,6,2,5,"Male","30-39","never married","Manhattan",1,3,2
294,7,1,2,3,6,7,"Female","18-29","married","Manhattan",2,1,3
295,2,2,2,6,4,6,"Male","18-29","never married","Brooklyn",1,2,3
296,3,3,3,4,7,4,"Female","50-59","married","Manhattan",3,1,2
297,2,1,1,3,1,5,"Female","40-49","never married","Queens",1,2,3
298,7,1,1,3,3,2,"Male","30-39","never married","Manhattan",3,2,1
299,5,1,5,7,3,4,"Female","40-49","married","Queens",1,3,2
300,6,3,5,5,5,4,"Female","18-29","married","Queens",3,2,1
301,7,1,5,6,3,4,"Female","30-39","never married","New Jersey",1,3,2
302,7,4,5,6,1,7,"Male","40-49","never married","Queens",1,2,3
303,4,1,4,7,3,3,"Male","18-29","never married","New Jersey",1,3,2
304,2,2,2,6,3,4,"Female","30-39","married","Manhattan",1,3,2
305,7,2,3,1,2,4,"Male","40-49","married","Brooklyn",2,1,3
306,6,2,5,7,7,2,"Male","50-59","never married","New Jersey",3,2,1
307,2,1,2,4,2,2,"Female","30-39","never married","New Jersey",1,3,2
308,1,1,1,3,6,6,"Female","40-49","never married","New Jersey",2,1,3
309,7,4,5,6,2,6,"Female","30-39","married","Manhattan",1,2,3
310,2,2,2,7,4,4,"Female","30-39","married","Queens",1,3,2
311,1,1,1,1,5,4,"Male","50-59","never married","Manhattan",3,1,2
312,3,1,1,1,6,4,"Male","30-39","separated","Queens",3,1,2
313,2,1,2,5,4,1,"Male","30-39","married","New Jersey",2,3,1
314,7,2,3,2,1,7,"Female","40-49","never married","Manhattan",1,2,3
315,5,2,2,1,3,7,"Male","18-29","never married","Manhattan",2,1,3
316,4,1,3,6,1,6,"Female","30-39","never married","Manhattan",1,2,3
317,1,1,1,5,4,2,"Female","50-59","never married","Brooklyn",2,3,1
318,3,1,3,5,4,3,"Female","50-59","married","Queens",2,3,1
319,4,2,2,2,1,2,"Female","18-29","married","Manhattan",1,2,3
320,7,1,3,1,5,3,"Female","18-29","married","Brooklyn",3,1,2
321,5,3,4,5,3,2,"Male","18-29","married","Manhattan",2,3,1
322,5,2,4,5,4,6,"Female","40-49","divorced","Manhattan",1,2,3
323,1,1,1,3,1,4,"Male","50-59","separated","New Jersey",1,2,3
324,6,4,6,4,3,7,"Male","40-49","married","Brooklyn",1,2,3
325,7,1,2,3,4,4,"Female","40-49","never married","Brooklyn",2,1,3
326,4,1,1,3,7,2,"Female","30-39","married","Brooklyn",3,2,1
327,3,2,2,2,5,2,"Female","30-39","never married","Manhattan",3,1,2
328,6,1,3,2,1,1,"Female","30-39","married","Manhattan",1,3,2
329,1,1,1,7,4,4,"Male","40-49","married","Manhattan",1,3,2
330,3,1,1,1,7,1,"Female","40-49","never married","New Jersey",3,1,2
331,3,2,3,7,4,4,"Female","40-49","married","Manhattan",1,3,2
332,7,2,3,1,3,6,"Male","40-49","never married","New Jersey",2,1,3
333,4,2,2,1,5,2,"Male","30-39","married","Manhattan",3,1,2
334,3,1,1,1,1,5,"Male","30-39","never married","New Jersey",2,1,3
335,5,2,3,2,7,6,"Male","30-39","never married","Brooklyn",3,1,2
336,5,1,2,1,3,2,"Female","18-29","married","Manhattan",3,1,2
337,3,1,2,1,3,1,"Male","40-49","never married","Manhattan",3,1,2
338,4,1,1,3,4,5,"Female","30-39","never married","Manhattan",2,1,3
339,3,1,3,4,1,2,"Female","40-49","never married","Manhattan",1,3,2
340,7,1,1,3,1,4,"Male","30-39","married","New Jersey",1,2,3
341,3,3,3,7,2,2,"Male","18-29","never married","Manhattan",1,3,2
342,3,1,3,7,3,3,"Male","30-39","never married","Manhattan",1,3,2
343,6,3,6,4,4,5,"Female","18-29","married","Manhattan",2,1,3
344,4,4,4,7,3,3,"Male","60 or over","never married","Manhattan",1,3,2
345,4,2,3,6,4,1,"Male","40-49","never married","Brooklyn",2,3,1
346,7,2,3,2,6,4,"Female","30-39","married","Manhattan",3,1,2
347,1,1,1,7,1,2,"Male","40-49","never married","Brooklyn",1,3,2
348,1,1,1,1,5,6,"Female","40-49","married","New Jersey",2,1,3
349,1,1,1,6,4,5,"Female","18-29","married","Queens",1,3,2
350,7,5,6,5,5,5,"Female","40-49","married","Manhattan",2,1,3
351,2,1,1,1,5,1,"Male","40-49","married","Manhattan",3,1,2
352,6,2,6,7,7,3,"Female","50-59","never married","Manhattan",3,2,1
353,1,1,1,7,5,4,"Female","40-49","never married","Queens",2,3,1
354,3,1,1,3,4,4,"Female","30-39","married","Queens",2,1,3
355,2,1,1,2,4,3,"Male","18-29","married","Manhattan",3,1,2
356,7,1,1,3,4,5,"Female","50-59","never married","Manhattan",2,1,3
357,4,3,4,7,3,2,"Female","40-49","divorced","Manhattan",2,3,1
358,7,3,7,4,6,6,"Female","30-39","never married","Brooklyn",2,1,3
359,1,1,1,3,5,3,"Female","18-29","never married","New Jersey",3,1,2
360,3,2,3,7,1,4,"Female","30-39","separated","Manhattan",1,3,2
361,1,1,1,5,5,7,"Male","30-39","never married","Queens",2,1,3
362,4,1,1,1,6,7,"Female","30-39","never married","Brooklyn",2,1,3
363,7,1,3,1,1,7,"Female","30-39","separated","Manhattan",2,1,3
364,7,2,7,4,5,2,"Female","30-39","separated","Manhattan",3,2,1
365,5,5,5,4,4,5,"Male","30-39","never married","New Jersey",2,1,3
366,7,2,4,2,5,4,"Female","40-49","married","Manhattan",3,1,2
367,3,1,1,3,7,5,"Female","18-29","never married","Queens",3,1,2
368,2,1,2,6,2,5,"Female","40-49","married","Brooklyn",1,3,2
369,6,4,4,6,3,5,"Male","50-59","never married","New Jersey",1,3,2
370,7,1,7,4,4,2,"Male","18-29","never married","Manhattan",3,2,1
371,5,2,4,6,1,5,"Female","40-49","married","Manhattan",1,3,2
372,1,1,1,1,1,4,"Male","18-29","married","Brooklyn",2,1,3
373,7,1,1,3,1,5,"Female","30-39","married","Manhattan",1,2,3
374,1,1,1,7,7,6,"Male","40-49","never married","Brooklyn",3,2,1
375,4,2,2,2,6,2,"Female","30-39","never married","Queens",3,1,2
376,6,5,6,7,5,3,"Female","18-29","married","Brooklyn",2,3,1
377,4,1,2,1,3,4,"Female","40-49","never married","Manhattan",2,1,3
378,4,1,2,2,4,1,"Female","50-59","never married","Manhattan",3,2,1
379,4,4,4,4,3,2,"Female","30-39","married","Manhattan",2,3,1
380,2,1,2,6,1,1,"Female","50-59","never married","Manhattan",1,3,2
