"trip_id","trip_duration","trip_distance","passenger_count","fare_amount","tolls_amount","tip","tip_amount","period_of_day","pickup_date","period_of_month","pickup_day","pickup_hour","pickup_min","pickup_sec","pickup_time","dropoff_time"
2289538,13.1,1.2,1,9.5,0,"Tip",2.55,"morning",28,"end","Thu",6,50,34,2022-04-28 06:50:34,2022-04-28 07:03:38
2092935,11.9,1.89,1,9.5,0,"Tip",3.84,"night",26,"end","Tue",2,40,31,2022-04-26 02:40:31,2022-04-26 02:52:26
343409,47.3,15.55,1,47.5,0,"Tip",9.66,"night",5,"beginning","Tue",4,57,22,2022-04-05 04:57:22,2022-04-05 05:44:38
2286194,5.5,0.55,1,5,0,"Tip",1.66,"night",28,"end","Thu",5,38,14,2022-04-28 05:38:14,2022-04-28 05:43:44
903422,13.2,1.2,1,9,0,"Tip",2.45,"afternoon",11,"middle","Mon",12,31,48,2022-04-11 12:31:48,2022-04-11 12:45:03
54154,12.2,0.92,1,9,0,"Tip",2.66,"afternoon",1,"beginning","Fri",13,14,31,2022-04-01 13:14:31,2022-04-01 13:26:46
313183,7.9,1.78,1,7.5,0,"Tip",2.36,"afternoon",4,"beginning","Mon",15,49,42,2022-04-04 15:49:42,2022-04-04 15:57:38
290997,8.3,1.06,1,7,0,"Tip",2.06,"morning",4,"beginning","Mon",10,34,27,2022-04-04 10:34:27,2022-04-04 10:42:44
639394,9.2,1.23,1,7.5,0,"Tip",1,"morning",8,"beginning","Fri",10,38,51,2022-04-08 10:38:51,2022-04-08 10:48:02
1606482,16.8,2.7,2,13,0,"Tip",3.26,"morning",20,"end","Wed",7,55,52,2022-04-20 07:55:52,2022-04-20 08:12:38
310529,13.3,1.86,2,10.5,0,"Tip",1,"afternoon",4,"beginning","Mon",14,3,25,2022-04-04 14:03:25,2022-04-04 14:16:43
2032228,10.8,1.61,1,9,0,"Tip",2.46,"morning",25,"end","Mon",6,7,31,2022-04-25 06:07:31,2022-04-25 06:18:17
657408,3.4,0.5,3,4.5,0,"Tip",1.75,"afternoon",8,"beginning","Fri",13,39,20,2022-04-08 13:39:20,2022-04-08 13:42:46
2327619,11.8,1.36,1,9,0,"Tip",2.66,"afternoon",28,"end","Thu",13,25,7,2022-04-28 13:25:07,2022-04-28 13:36:56
1242840,12,2.06,1,10,0,"Tip",2.66,"morning",15,"middle","Fri",11,8,5,2022-04-15 11:08:05,2022-04-15 11:20:04
437954,32.9,10.15,2,34,0,"Tip",11.19,"morning",6,"beginning","Wed",6,27,6,2022-04-06 06:27:06,2022-04-06 06:59:58
1016187,4.4,1.16,1,5.5,0,"Tip",1.86,"evening",12,"middle","Tue",18,36,14,2022-04-12 18:36:14,2022-04-12 18:40:41
851759,8.7,1.75,1,8,0,"Tip",2.26,"afternoon",10,"middle","Sun",15,19,4,2022-04-10 15:19:04,2022-04-10 15:27:43
1028055,8.1,2,1,8.5,0,"Tip",1,"night",13,"middle","Wed",3,15,4,2022-04-13 03:15:04,2022-04-13 03:23:11
1286136,31.8,9.5,2,31,0,"Tip",6.96,"evening",15,"middle","Fri",20,32,59,2022-04-15 20:32:59,2022-04-15 21:04:45
2068030,6.4,0.88,1,6,0,"Tip",2.06,"afternoon",25,"end","Mon",14,17,43,2022-04-25 14:17:43,2022-04-25 14:24:10
1666688,3.7,0.51,1,4.5,0,"Tip",1.66,"evening",20,"end","Wed",18,37,0,2022-04-20 18:37:00,2022-04-20 18:40:40
1109030,4.6,1.3,1,6,0,"Tip",2.45,"evening",13,"middle","Wed",19,18,43,2022-04-13 19:18:43,2022-04-13 19:23:20
1425433,7.5,1.48,6,7.5,0,"Tip",2.26,"evening",17,"middle","Sun",17,10,38,2022-04-17 17:10:38,2022-04-17 17:18:07
427765,9.1,1.23,1,7.5,0,"Tip",1.66,"night",6,"beginning","Wed",3,46,32,2022-04-06 03:46:32,2022-04-06 03:55:36
1952000,3.7,1.22,1,5.5,0,"Tip",1,"night",23,"end","Sat",22,26,23,2022-04-23 22:26:23,2022-04-23 22:30:06
244435,2.5,0.6,1,4,0,"Tip",2.15,"afternoon",3,"beginning","Sun",15,41,12,2022-04-03 15:41:12,2022-04-03 15:43:41
447691,9.3,1,3,7.5,0,"Tip",2.15,"morning",6,"beginning","Wed",8,13,30,2022-04-06 08:13:30,2022-04-06 08:22:47
772095,17.7,2.7,1,13,0,"Tip",2.52,"evening",9,"beginning","Sat",16,38,56,2022-04-09 16:38:56,2022-04-09 16:56:40
1229334,4.6,1.04,1,5.5,0,"Tip",1.76,"morning",15,"middle","Fri",8,29,57,2022-04-15 08:29:57,2022-04-15 08:34:33
1344043,21.7,3.17,2,15,0,"Tip",3.66,"afternoon",16,"middle","Sat",15,42,54,2022-04-16 15:42:54,2022-04-16 16:04:36
69854,26.7,10.82,3,32.5,6.55,"Tip",11.02,"evening",1,"beginning","Fri",16,34,5,2022-04-01 16:34:05,2022-04-01 17:00:46
947706,15.2,2.2,1,11.5,0,"Tip",2.96,"night",12,"middle","Tue",4,41,49,2022-04-12 04:41:49,2022-04-12 04:56:58
1084290,15.4,2.3,1,12,0,"Tip",2.45,"afternoon",13,"middle","Wed",14,18,44,2022-04-13 14:18:44,2022-04-13 14:34:08
98937,4.3,0.95,2,5,0,"Tip",1.76,"evening",1,"beginning","Fri",21,39,5,2022-04-01 21:39:05,2022-04-01 21:43:21
2361116,18.2,10.73,1,30,0,"Tip",8.45,"evening",28,"end","Thu",19,53,5,2022-04-28 19:53:05,2022-04-28 20:11:19
1735340,7.1,1.03,1,6.5,0,"Tip",1.5,"afternoon",21,"end","Thu",14,23,1,2022-04-21 14:23:01,2022-04-21 14:30:08
1483202,13.4,2.69,5,11.5,0,"Tip",3.16,"afternoon",18,"middle","Mon",14,27,52,2022-04-18 14:27:52,2022-04-18 14:41:17
29332,15.7,1.98,1,10.5,0,"Tip",1,"morning",1,"beginning","Fri",9,31,54,2022-04-01 09:31:54,2022-04-01 09:47:33
1188964,12,2.57,1,11,0,"Tip",2.5,"evening",14,"middle","Thu",17,14,34,2022-04-14 17:14:34,2022-04-14 17:26:34
1928329,8.6,2.78,2,9.5,0,"Tip",2,"evening",23,"end","Sat",16,14,22,2022-04-23 16:14:22,2022-04-23 16:22:58
2041482,6.8,0.77,1,6,0,"Tip",2,"morning",25,"end","Mon",8,59,20,2022-04-25 08:59:20,2022-04-25 09:06:05
1742714,13.1,2.13,1,11,0,"Tip",3,"afternoon",21,"end","Thu",15,32,56,2022-04-21 15:32:56,2022-04-21 15:46:04
2322688,25.6,2.3,1,17,0,"Tip",1.2,"afternoon",28,"end","Thu",13,32,45,2022-04-28 13:32:45,2022-04-28 13:58:18
261669,10.8,1.35,1,9,0,"Tip",1,"night",4,"beginning","Mon",3,2,39,2022-04-04 03:02:39,2022-04-04 03:13:29
809818,15.8,2.6,1,12,0,"Tip",1,"morning",10,"middle","Sun",6,33,51,2022-04-10 06:33:51,2022-04-10 06:49:39
2218777,3.5,0.47,1,4.5,0,"Tip",1.56,"morning",27,"end","Wed",11,36,1,2022-04-27 11:36:01,2022-04-27 11:39:30
2043932,15.3,1.69,1,10.5,0,"Tip",2.76,"morning",25,"end","Mon",9,45,53,2022-04-25 09:45:53,2022-04-25 10:01:09
751578,16,3.5,3,13.5,0,"Tip",3.36,"afternoon",9,"beginning","Sat",13,38,17,2022-04-09 13:38:17,2022-04-09 13:54:17
920749,6,0.98,1,6,0,"Tip",2.58,"afternoon",11,"middle","Mon",15,58,43,2022-04-11 15:58:43,2022-04-11 16:04:45
2312423,32.6,4.26,1,22,0,"Tip",5.06,"morning",28,"end","Thu",11,15,4,2022-04-28 11:15:04,2022-04-28 11:47:38
2087978,7.1,1.69,1,7.5,0,"Tip",1,"evening",25,"end","Mon",19,24,7,2022-04-25 19:24:07,2022-04-25 19:31:13
256628,9.6,1.78,2,8.5,0,"Tip",2.46,"evening",3,"beginning","Sun",20,21,37,2022-04-03 20:21:37,2022-04-03 20:31:11
894733,22.5,5.92,1,20.5,0,"Tip",4.76,"morning",11,"middle","Mon",10,0,13,2022-04-11 10:00:13,2022-04-11 10:22:41
1709506,13.3,1.81,1,10.5,0,"Tip",2.76,"morning",21,"end","Thu",10,31,55,2022-04-21 10:31:55,2022-04-21 10:45:16
1130811,14.2,1.61,1,10.5,0,"Tip",1,"morning",14,"middle","Thu",6,2,9,2022-04-14 06:02:09,2022-04-14 06:16:19
686879,3.3,0.81,1,4.5,0,"Tip",1.66,"evening",8,"beginning","Fri",18,44,9,2022-04-08 18:44:09,2022-04-08 18:47:25
1468177,14.3,1.26,2,10,0,"Tip",2.86,"morning",18,"middle","Mon",11,55,27,2022-04-18 11:55:27,2022-04-18 12:09:48
245166,4.6,1.2,1,5.5,0,"Tip",1.75,"afternoon",3,"beginning","Sun",15,0,7,2022-04-03 15:00:07,2022-04-03 15:04:40
1107649,23.2,4.95,1,19,0,"Tip",2,"evening",13,"middle","Wed",19,25,25,2022-04-13 19:25:25,2022-04-13 19:48:40
1945991,5.7,1.02,1,6,0,"Tip",1.96,"evening",23,"end","Sat",20,32,49,2022-04-23 20:32:49,2022-04-23 20:38:33
2445983,9.5,1.78,1,8.5,0,"Tip",1.84,"evening",29,"end","Fri",18,19,53,2022-04-29 18:19:53,2022-04-29 18:29:24
2175263,22.6,11.2,1,32,6.55,"Tip",10.55,"evening",26,"end","Tue",19,50,25,2022-04-26 19:50:25,2022-04-26 20:13:00
1034305,7.6,0.14,1,6,0,"Tip",1.86,"night",13,"middle","Wed",4,18,13,2022-04-13 04:18:13,2022-04-13 04:25:46
440329,6.6,0.91,5,6.5,0,"Tip",1.5,"morning",6,"beginning","Wed",6,36,6,2022-04-06 06:36:06,2022-04-06 06:42:39
119338,1.7,0.3,1,3.5,0,"Tip",1.35,"morning",2,"beginning","Sat",8,1,59,2022-04-02 08:01:59,2022-04-02 08:03:43
1241415,17.2,3.8,1,15,0,"Tip",3.66,"morning",15,"middle","Fri",11,15,9,2022-04-15 11:15:09,2022-04-15 11:32:22
2320760,26.2,3.88,1,18.5,0,"No Tip",0,"afternoon",28,"end","Thu",12,50,41,2022-04-28 12:50:41,2022-04-28 13:16:54
1825429,27.6,4.2,1,19.5,0,"Tip",4.75,"afternoon",22,"end","Fri",14,58,50,2022-04-22 14:58:50,2022-04-22 15:26:26
720848,16,2.21,1,12,0,"Tip",3.06,"morning",9,"beginning","Sat",7,47,8,2022-04-09 07:47:08,2022-04-09 08:03:08
1125960,6.7,1.26,1,6.5,0,"Tip",3,"night",14,"middle","Thu",5,58,30,2022-04-14 05:58:30,2022-04-14 06:05:09
2067717,10.7,1.83,2,9.5,0,"Tip",2.76,"afternoon",25,"end","Mon",14,27,14,2022-04-25 14:27:14,2022-04-25 14:37:53
1398137,33.9,7.36,2,28.5,0,"Tip",6.36,"morning",17,"middle","Sun",10,14,36,2022-04-17 10:14:36,2022-04-17 10:48:29
124563,10.2,1.47,1,8.5,0,"Tip",1,"morning",2,"beginning","Sat",9,15,42,2022-04-02 09:15:42,2022-04-02 09:25:54
321897,11.5,1.84,1,9.5,0,"Tip",2.66,"evening",4,"beginning","Mon",16,17,47,2022-04-04 16:17:47,2022-04-04 16:29:16
356042,3.8,0.52,1,4.5,0,"Tip",1.56,"morning",5,"beginning","Tue",7,29,39,2022-04-05 07:29:39,2022-04-05 07:33:28
1496203,5.2,0.89,3,5.5,0,"Tip",1.86,"evening",18,"middle","Mon",18,40,10,2022-04-18 18:40:10,2022-04-18 18:45:23
62090,5.5,1.28,1,6,0,"Tip",2.06,"afternoon",1,"beginning","Fri",14,44,44,2022-04-01 14:44:44,2022-04-01 14:50:16
1001775,15.5,2.39,1,12,0,"Tip",3.26,"afternoon",12,"middle","Tue",15,50,4,2022-04-12 15:50:04,2022-04-12 16:05:36
1577012,20.6,3.51,1,15.5,0,"Tip",4.83,"evening",19,"middle","Tue",17,25,53,2022-04-19 17:25:53,2022-04-19 17:46:27
630080,4.8,0.6,2,5,0,"Tip",2.45,"morning",8,"beginning","Fri",8,52,27,2022-04-08 08:52:27,2022-04-08 08:57:14
590568,7.6,1.7,1,7.5,0,"Tip",0.57,"evening",7,"beginning","Thu",17,49,4,2022-04-07 17:49:04,2022-04-07 17:56:39
213837,6.2,1.9,1,7.5,0,"Tip",2.16,"morning",3,"beginning","Sun",8,12,38,2022-04-03 08:12:38,2022-04-03 08:18:51
1899999,39.4,4.79,1,25,0,"No Tip",0,"morning",23,"end","Sat",11,6,23,2022-04-23 11:06:23,2022-04-23 11:45:49
883999,18.9,1.91,2,13,0,"Tip",2,"morning",11,"middle","Mon",7,37,2,2022-04-11 07:37:02,2022-04-11 07:55:55
2345249,2,0.42,2,3.5,0,"Tip",1.46,"evening",28,"end","Thu",16,31,17,2022-04-28 16:31:17,2022-04-28 16:33:14
1417226,9.2,1.9,1,8,0,"Tip",2.25,"afternoon",17,"middle","Sun",15,21,49,2022-04-17 15:21:49,2022-04-17 15:31:04
2344680,13.9,2.7,1,12,0,"Tip",3.15,"evening",28,"end","Thu",16,3,39,2022-04-28 16:03:39,2022-04-28 16:17:36
288707,12.4,1.58,1,9.5,0,"Tip",3.84,"morning",4,"beginning","Mon",10,26,16,2022-04-04 10:26:16,2022-04-04 10:38:38
1251775,11.7,1.9,1,9.5,0,"Tip",3.45,"afternoon",15,"middle","Fri",13,12,5,2022-04-15 13:12:05,2022-04-15 13:23:45
2033494,9.2,1.5,1,8.5,0,"Tip",3.5,"morning",25,"end","Mon",7,46,42,2022-04-25 07:46:42,2022-04-25 07:55:56
2247683,30.8,8.62,1,29.5,6.55,"Tip",8.07,"afternoon",27,"end","Wed",15,28,15,2022-04-27 15:28:15,2022-04-27 15:59:03
198511,4.7,1.3,1,6,0,"Tip",2,"night",3,"beginning","Sun",4,33,48,2022-04-03 04:33:48,2022-04-03 04:38:29
1641152,2.8,0.63,1,4,0,"Tip",1.66,"afternoon",20,"end","Wed",14,54,44,2022-04-20 14:54:44,2022-04-20 14:57:33
953731,7,1.18,1,6.5,0,"Tip",1.96,"night",12,"middle","Tue",5,42,16,2022-04-12 05:42:16,2022-04-12 05:49:15
1941981,11.7,1.81,1,9.5,0,"Tip",1.5,"evening",23,"end","Sat",19,29,10,2022-04-23 19:29:10,2022-04-23 19:40:53
597607,12.8,1.8,1,10,0,"Tip",1,"evening",7,"beginning","Thu",18,14,1,2022-04-07 18:14:01,2022-04-07 18:26:48
1612266,14,2.73,1,12.5,0,"Tip",3.16,"morning",20,"end","Wed",8,8,47,2022-04-20 08:08:47,2022-04-20 08:22:49
2087492,10.8,2.68,1,10.5,0,"Tip",1,"evening",25,"end","Mon",18,23,24,2022-04-25 18:23:24,2022-04-25 18:34:13
2426049,9.5,1.8,1,8.5,0,"Tip",1,"afternoon",29,"end","Fri",15,59,2,2022-04-29 15:59:02,2022-04-29 16:08:32
1699525,6.6,1.24,1,6.5,0,"Tip",1.96,"morning",21,"end","Thu",8,50,49,2022-04-21 08:50:49,2022-04-21 08:57:27
2001252,24.6,6.24,2,22,0,"Tip",6.32,"afternoon",24,"end","Sun",15,20,8,2022-04-24 15:20:08,2022-04-24 15:44:47
1907443,10.9,1.52,6,8.5,0,"Tip",10,"afternoon",23,"end","Sat",13,34,53,2022-04-23 13:34:53,2022-04-23 13:45:46
948449,19.7,3.04,1,14.5,0,"Tip",3.56,"night",12,"middle","Tue",4,37,23,2022-04-12 04:37:23,2022-04-12 04:57:04
2364191,6.2,1.4,1,6.5,0,"Tip",2.05,"evening",28,"end","Thu",21,59,50,2022-04-28 21:59:50,2022-04-28 22:06:00
953588,15.6,1.51,2,10.5,0,"Tip",2,"night",12,"middle","Tue",5,43,12,2022-04-12 05:43:12,2022-04-12 05:58:50
1532017,33.9,4.09,1,22,0,"Tip",2,"morning",19,"middle","Tue",9,18,18,2022-04-19 09:18:18,2022-04-19 09:52:10
478750,4.3,0.43,1,4.5,0,"Tip",1.76,"afternoon",6,"beginning","Wed",13,18,35,2022-04-06 13:18:35,2022-04-06 13:22:53
429293,15.8,1.57,3,10.5,0,"Tip",3.45,"night",6,"beginning","Wed",4,51,50,2022-04-06 04:51:50,2022-04-06 05:07:39
310718,5.2,0.81,1,5.5,0,"Tip",2.5,"afternoon",4,"beginning","Mon",14,15,46,2022-04-04 14:15:46,2022-04-04 14:21:00
2166437,3.7,0.69,2,4.5,0,"Tip",1.66,"evening",26,"end","Tue",17,31,20,2022-04-26 17:31:20,2022-04-26 17:35:02
61166,8.3,1.2,2,7.5,0,"Tip",2.35,"afternoon",1,"beginning","Fri",14,51,4,2022-04-01 14:51:04,2022-04-01 14:59:20
1753002,25.4,7.52,1,24.5,0,"Tip",5.66,"evening",21,"end","Thu",17,21,16,2022-04-21 17:21:16,2022-04-21 17:46:38
1406064,11.4,1.48,1,9,0,"Tip",1,"afternoon",17,"middle","Sun",12,19,30,2022-04-17 12:19:30,2022-04-17 12:30:52
2126500,15.6,2.14,2,11.5,0,"Tip",2.96,"morning",26,"end","Tue",10,9,52,2022-04-26 10:09:52,2022-04-26 10:25:25
1987247,10.4,1.5,1,8.5,0,"Tip",2.36,"afternoon",24,"end","Sun",12,43,24,2022-04-24 12:43:24,2022-04-24 12:53:49
2232097,13.8,2.5,1,12,0,"Tip",3.25,"afternoon",27,"end","Wed",13,5,2,2022-04-27 13:05:02,2022-04-27 13:18:53
2022698,5.7,1.31,1,6.5,0,"Tip",1.96,"night",25,"end","Mon",4,41,58,2022-04-25 04:41:58,2022-04-25 04:47:39
1348855,31.8,8,1,28.5,0,"Tip",9.65,"evening",16,"middle","Sat",16,26,0,2022-04-16 16:26:00,2022-04-16 16:57:47
1279657,4.6,0.9,3,5.5,0,"Tip",1.3,"evening",15,"middle","Fri",18,37,23,2022-04-15 18:37:23,2022-04-15 18:41:57
1689698,8.7,1.59,1,8,0,"Tip",2,"morning",21,"end","Thu",6,34,34,2022-04-21 06:34:34,2022-04-21 06:43:14
1853379,31.7,9.1,1,29.5,0,"Tip",6.66,"evening",22,"end","Fri",19,8,8,2022-04-22 19:08:08,2022-04-22 19:39:49
1860388,10.3,1.4,3,8.5,0,"Tip",1,"evening",22,"end","Fri",21,17,27,2022-04-22 21:17:27,2022-04-22 21:27:43
1429634,8.4,1.44,1,7,0,"Tip",2.5,"evening",17,"middle","Sun",19,14,12,2022-04-17 19:14:12,2022-04-17 19:22:35
456004,6.9,1.3,2,6.5,0,"Tip",1.95,"morning",6,"beginning","Wed",10,38,33,2022-04-06 10:38:33,2022-04-06 10:45:28
2133826,26.4,3.19,1,17,0,"Tip",4.06,"afternoon",26,"end","Tue",12,14,24,2022-04-26 12:14:24,2022-04-26 12:40:47
2322274,40.1,9.44,2,33.5,6.55,"Tip",9.12,"afternoon",28,"end","Thu",13,51,26,2022-04-28 13:51:26,2022-04-28 14:31:33
1854145,8.7,1.8,1,8.5,0,"Tip",1.5,"evening",22,"end","Fri",19,27,49,2022-04-22 19:27:49,2022-04-22 19:36:30
2425211,22.1,6.13,1,21.5,0,"Tip",7.74,"afternoon",29,"end","Fri",15,49,57,2022-04-29 15:49:57,2022-04-29 16:12:05
2205011,4.7,1.01,1,5.5,0,"Tip",1.76,"morning",27,"end","Wed",8,51,43,2022-04-27 08:51:43,2022-04-27 08:56:24
2272394,10.3,3.04,1,11,0,"Tip",2,"night",28,"end","Thu",1,49,45,2022-04-28 01:49:45,2022-04-28 02:00:03
144115,20.4,3.6,1,16,0,"Tip",3.85,"afternoon",2,"beginning","Sat",12,51,12,2022-04-02 12:51:12,2022-04-02 13:11:38
1619880,9.2,1.19,2,7.5,0,"Tip",1.08,"morning",20,"end","Wed",10,43,38,2022-04-20 10:43:38,2022-04-20 10:52:53
2247761,10.9,4.63,1,14.5,0,"Tip",3,"afternoon",27,"end","Wed",15,38,45,2022-04-27 15:38:45,2022-04-27 15:49:38
345408,12.6,1.19,1,9,0,"Tip",4,"night",5,"beginning","Tue",5,40,43,2022-04-05 05:40:43,2022-04-05 05:53:21
2463763,12.6,3.82,1,13.5,0,"Tip",3,"night",30,"end","Sat",1,57,16,2022-04-30 01:57:16,2022-04-30 02:09:49
463895,31.3,11.39,2,34,6.55,"Tip",4.38,"morning",6,"beginning","Wed",11,5,21,2022-04-06 11:05:21,2022-04-06 11:36:39
1629237,24.8,6,1,21,0,"Tip",5.05,"afternoon",20,"end","Wed",12,50,18,2022-04-20 12:50:18,2022-04-20 13:15:07
2307143,27.7,7.8,1,26,6.55,"Tip",8.3,"morning",28,"end","Thu",10,8,6,2022-04-28 10:08:06,2022-04-28 10:35:48
300479,8.8,1.37,1,7.5,0,"Tip",2.36,"afternoon",4,"beginning","Mon",12,0,43,2022-04-04 12:00:43,2022-04-04 12:09:31
592315,8.1,1.8,2,8,0,"Tip",0.15,"evening",7,"beginning","Thu",17,3,45,2022-04-07 17:03:45,2022-04-07 17:11:52
2025122,7.1,1.35,1,7,0,"Tip",2.58,"night",25,"end","Mon",4,27,50,2022-04-25 04:27:50,2022-04-25 04:34:54
624080,30.4,5.33,1,23,0,"Tip",7.89,"morning",8,"beginning","Fri",6,4,8,2022-04-08 06:04:08,2022-04-08 06:34:32
1860398,20.3,6.24,6,21.5,0,"Tip",5,"evening",22,"end","Fri",21,43,28,2022-04-22 21:43:28,2022-04-22 22:03:47
2088631,9.4,1.6,1,8.5,0,"No Tip",0,"evening",25,"end","Mon",19,1,44,2022-04-25 19:01:44,2022-04-25 19:11:10
1300818,3,0.8,1,4.5,0,"Tip",1.95,"night",16,"middle","Sat",5,57,38,2022-04-16 05:57:38,2022-04-16 06:00:39
806145,5.3,1.92,1,7,0,"Tip",2,"night",10,"middle","Sun",5,22,47,2022-04-10 05:22:47,2022-04-10 05:28:08
150849,12.1,1.21,1,9,0,"Tip",2.46,"afternoon",2,"beginning","Sat",13,38,26,2022-04-02 13:38:26,2022-04-02 13:50:30
1024107,7.2,2.54,1,9,0,"Tip",2.56,"evening",12,"middle","Tue",20,54,29,2022-04-12 20:54:29,2022-04-12 21:01:43
106069,2.1,0.7,4,4,0,"Tip",0.73,"night",2,"beginning","Sat",4,27,10,2022-04-02 04:27:10,2022-04-02 04:29:18
1679256,11.1,1.81,1,9,0,"Tip",2.46,"night",21,"end","Thu",3,44,3,2022-04-21 03:44:03,2022-04-21 03:55:09
1572306,2.3,0.87,1,4.5,0,"Tip",1.66,"evening",19,"middle","Tue",16,50,52,2022-04-19 16:50:52,2022-04-19 16:53:11
2091157,9.2,2.66,1,10,0,"Tip",2.76,"night",26,"end","Tue",0,24,1,2022-04-26 00:24:01,2022-04-26 00:33:16
1621720,10.1,0.9,1,7.5,0,"Tip",2.7,"morning",20,"end","Wed",10,50,29,2022-04-20 10:50:29,2022-04-20 11:00:35
1515249,18.1,1.83,1,12,0,"Tip",3.06,"morning",19,"middle","Tue",6,39,38,2022-04-19 06:39:38,2022-04-19 06:57:47
995980,6.6,1.45,5,7,0,"Tip",2.26,"afternoon",12,"middle","Tue",15,1,21,2022-04-12 15:01:21,2022-04-12 15:07:57
2266998,8.2,1.67,1,8,0,"Tip",2.36,"evening",27,"end","Wed",19,58,42,2022-04-27 19:58:42,2022-04-27 20:06:56
174526,8.7,1.6,1,8,0,"Tip",1.2,"evening",2,"beginning","Sat",18,14,43,2022-04-02 18:14:43,2022-04-02 18:23:22
225667,30.7,10,1,32,0,"Tip",8.8,"morning",3,"beginning","Sun",11,20,55,2022-04-03 11:20:55,2022-04-03 11:51:36
2476287,6.9,0.7,1,6,0,"Tip",0.93,"morning",30,"end","Sat",7,48,41,2022-04-30 07:48:41,2022-04-30 07:55:35
2365892,19,6.43,1,21.5,0,"Tip",5.06,"night",28,"end","Thu",22,45,34,2022-04-28 22:45:34,2022-04-28 23:04:31
120631,13.9,2.1,1,11,0,"Tip",2,"morning",2,"beginning","Sat",8,16,49,2022-04-02 08:16:49,2022-04-02 08:30:46
