"trip_id","tip","trip_duration","trip_distance","passenger_count","fare_amount","tolls_amount","period_of_day","pickup_date","period_of_month","pickup_day","pickup_hour","pickup_min","pickup_sec","pickup_time","dropoff_time"
1931688,1,25.2,5.6,1,21,0,"evening",23,"end","Sat",17,46,48,2022-04-23 17:46:48,2022-04-23 18:12:03
424390,1,18.3,8.59,1,25.5,6.55,"night",6,"beginning","Wed",2,56,9,2022-04-06 02:56:09,2022-04-06 03:14:27
255749,1,30,14.95,1,42.5,0,"evening",3,"beginning","Sun",19,54,12,2022-04-03 19:54:12,2022-04-03 20:24:10
246032,1,30.5,19.1,2,51,0,"evening",3,"beginning","Sun",16,20,46,2022-04-03 16:20:46,2022-04-03 16:51:14
850329,0,10.5,1.15,1,8.5,0,"afternoon",10,"middle","Sun",15,3,17,2022-04-10 15:03:17,2022-04-10 15:13:45
1958365,0,7,1.64,1,7.5,0,"night",24,"end","Sun",4,58,54,2022-04-24 04:58:54,2022-04-24 05:05:52
509114,0,3.9,0.71,2,4.5,0,"evening",6,"beginning","Wed",19,1,48,2022-04-06 19:01:48,2022-04-06 19:05:39
1856593,0,13.7,3.04,1,12.5,0,"evening",22,"end","Fri",20,21,46,2022-04-22 20:21:46,2022-04-22 20:35:28
2152181,1,31,10.72,1,33.5,6.55,"afternoon",26,"end","Tue",14,16,36,2022-04-26 14:16:36,2022-04-26 14:47:34
1568872,0,5.4,1.57,1,7,0,"evening",19,"middle","Tue",16,0,17,2022-04-19 16:00:17,2022-04-19 16:05:44
579131,0,12.5,1.4,0,9,0,"afternoon",7,"beginning","Thu",15,27,19,2022-04-07 15:27:19,2022-04-07 15:39:49
619631,0,45.4,15.79,2,49,0,"night",8,"beginning","Fri",5,55,0,2022-04-08 05:55:00,2022-04-08 06:40:21
2386799,1,53.9,18.77,1,57,13.1,"morning",29,"end","Fri",7,27,12,2022-04-29 07:27:12,2022-04-29 08:21:03
2301987,1,43.5,9.72,4,36,6.55,"morning",28,"end","Thu",9,48,49,2022-04-28 09:48:49,2022-04-28 10:32:22
574495,1,33,5.86,1,25.5,0,"afternoon",7,"beginning","Thu",14,46,33,2022-04-07 14:46:33,2022-04-07 15:19:35
1544326,0,9.9,1.64,1,9,0,"afternoon",19,"middle","Tue",12,7,52,2022-04-19 12:07:52,2022-04-19 12:17:44
100486,0,13.4,2.69,2,11,0,"night",1,"beginning","Fri",22,2,28,2022-04-01 22:02:28,2022-04-01 22:15:55
1604924,1,22.6,4.02,4,17.5,0,"morning",20,"end","Wed",6,16,33,2022-04-20 06:16:33,2022-04-20 06:39:11
2081135,1,18.9,5.01,5,17.5,0,"evening",25,"end","Mon",17,4,5,2022-04-25 17:04:05,2022-04-25 17:23:00
172017,1,46,26.83,1,72.5,0,"evening",2,"beginning","Sat",17,49,2,2022-04-02 17:49:02,2022-04-02 18:35:01
1995158,0,12.8,3.1,1,12,0,"afternoon",24,"end","Sun",13,2,33,2022-04-24 13:02:33,2022-04-24 13:15:21
1752531,0,9.3,1.8,1,8.5,0,"evening",21,"end","Thu",17,40,44,2022-04-21 17:40:44,2022-04-21 17:50:02
2466108,1,22.1,6.01,1,21,0,"night",30,"end","Sat",4,40,22,2022-04-30 04:40:22,2022-04-30 05:02:29
1199530,0,10.8,1.97,1,10,0,"evening",14,"middle","Thu",19,19,13,2022-04-14 19:19:13,2022-04-14 19:30:02
604196,0,11.6,2.9,1,11.5,0,"evening",7,"beginning","Thu",20,18,39,2022-04-07 20:18:39,2022-04-07 20:30:17
1341343,0,16.8,2.36,3,12.5,0,"afternoon",16,"middle","Sat",14,58,39,2022-04-16 14:58:39,2022-04-16 15:15:24
2113359,0,11.6,1.71,1,9,0,"morning",26,"end","Tue",7,30,47,2022-04-26 07:30:47,2022-04-26 07:42:25
1559428,1,27.1,8.03,1,25.5,0,"afternoon",19,"middle","Tue",14,1,34,2022-04-19 14:01:34,2022-04-19 14:28:42
2438464,1,22.8,7.4,2,24,6.55,"evening",29,"end","Fri",16,57,50,2022-04-29 16:57:50,2022-04-29 17:20:39
1660125,0,7.1,1,1,6.5,0,"evening",20,"end","Wed",17,48,33,2022-04-20 17:48:33,2022-04-20 17:55:38
2237421,1,22,0.4,1,13.5,0,"afternoon",27,"end","Wed",14,47,40,2022-04-27 14:47:40,2022-04-27 15:09:37
227996,1,25.1,3.69,5,18.5,0,"morning",3,"beginning","Sun",10,52,23,2022-04-03 10:52:23,2022-04-03 11:17:28
418241,0,29.5,11.7,1,34.5,6.55,"evening",5,"beginning","Tue",19,49,58,2022-04-05 19:49:58,2022-04-05 20:19:29
1359810,0,13,1.92,1,10.5,0,"evening",16,"middle","Sat",18,56,23,2022-04-16 18:56:23,2022-04-16 19:09:24
1681556,0,13.7,1.4,2,10,0,"night",21,"end","Thu",4,10,24,2022-04-21 04:10:24,2022-04-21 04:24:06
2261947,0,11.1,2.35,1,10,0,"evening",27,"end","Wed",18,27,38,2022-04-27 18:27:38,2022-04-27 18:38:45
2270559,1,45.3,3.3,1,11,6.55,"evening",27,"end","Wed",20,42,33,2022-04-27 20:42:33,2022-04-27 21:27:51
787019,1,17.7,6.1,6,20.5,0,"evening",9,"beginning","Sat",19,25,36,2022-04-09 19:25:36,2022-04-09 19:43:20
1762418,0,12.4,2.88,2,11.5,0,"evening",21,"end","Thu",19,17,34,2022-04-21 19:17:34,2022-04-21 19:29:56
1826755,0,12.6,1,2,9,0,"afternoon",22,"end","Fri",15,44,52,2022-04-22 15:44:52,2022-04-22 15:57:30
32879,0,10.4,1.6,2,9,0,"morning",1,"beginning","Fri",10,10,32,2022-04-01 10:10:32,2022-04-01 10:20:54
1815532,0,6.6,0.6,1,6,0,"afternoon",22,"end","Fri",13,14,26,2022-04-22 13:14:26,2022-04-22 13:20:59
267186,0,8.9,2.9,1,11,0,"night",4,"beginning","Mon",5,13,3,2022-04-04 05:13:03,2022-04-04 05:21:55
1734934,1,24.1,4.7,1,18.5,0,"afternoon",21,"end","Thu",14,16,14,2022-04-21 14:16:14,2022-04-21 14:40:21
1575270,0,3.2,0.3,1,4,0,"evening",19,"middle","Tue",17,8,19,2022-04-19 17:08:19,2022-04-19 17:11:34
1720383,1,55.5,11.36,1,42,6.55,"afternoon",21,"end","Thu",12,51,27,2022-04-21 12:51:27,2022-04-21 13:46:59
68715,0,3.2,0.5,0,4,0,"afternoon",1,"beginning","Fri",15,5,49,2022-04-01 15:05:49,2022-04-01 15:09:01
1058053,1,28.6,3.7,2,19.5,0,"morning",13,"middle","Wed",10,37,30,2022-04-13 10:37:30,2022-04-13 11:06:05
2028980,0,16.4,1.8,2,11.5,0,"night",25,"end","Mon",5,50,54,2022-04-25 05:50:54,2022-04-25 06:07:16
326356,1,18.7,7.31,1,22.5,0,"evening",4,"beginning","Mon",17,31,41,2022-04-04 17:31:41,2022-04-04 17:50:21
1609044,1,25.6,10.66,1,32,6.55,"morning",20,"end","Wed",7,5,41,2022-04-20 07:05:41,2022-04-20 07:31:18
2192575,1,22.5,3.8,1,17.5,0,"night",27,"end","Wed",5,1,46,2022-04-27 05:01:46,2022-04-27 05:24:17
756127,1,46,2.52,2,26,0,"afternoon",9,"beginning","Sat",14,7,22,2022-04-09 14:07:22,2022-04-09 14:53:23
565183,1,10.1,1.3,0,8,0,"afternoon",7,"beginning","Thu",12,4,3,2022-04-07 12:04:03,2022-04-07 12:14:06
1991992,1,39.6,10,1,34,6.55,"afternoon",24,"end","Sun",13,20,3,2022-04-24 13:20:03,2022-04-24 13:59:37
621061,1,35.5,11.46,1,35,6.55,"morning",8,"beginning","Fri",6,44,51,2022-04-08 06:44:51,2022-04-08 07:20:22
786803,1,17.7,6.04,1,20,0,"evening",9,"beginning","Sat",19,27,41,2022-04-09 19:27:41,2022-04-09 19:45:23
1046182,0,10.7,1.12,1,8,0,"morning",13,"middle","Wed",7,52,20,2022-04-13 07:52:20,2022-04-13 08:03:01
512583,1,17.7,6.16,1,20.5,0,"evening",6,"beginning","Wed",21,46,53,2022-04-06 21:46:53,2022-04-06 22:04:33
2074067,1,18.8,8.9,1,26,6.55,"afternoon",25,"end","Mon",15,7,0,2022-04-25 15:07:00,2022-04-25 15:25:50
1543073,0,8.1,2.63,2,10,0,"morning",19,"middle","Tue",11,41,54,2022-04-19 11:41:54,2022-04-19 11:50:01
670375,0,12.8,1.99,1,10,0,"afternoon",8,"beginning","Fri",15,46,18,2022-04-08 15:46:18,2022-04-08 15:59:03
2012268,1,19.9,3.85,1,17.5,0,"evening",24,"end","Sun",18,22,50,2022-04-24 18:22:50,2022-04-24 18:42:41
145240,1,28.2,5.14,1,22,0,"afternoon",2,"beginning","Sat",12,28,38,2022-04-02 12:28:38,2022-04-02 12:56:51
740796,0,9.8,1.83,1,8.5,0,"morning",9,"beginning","Sat",11,11,36,2022-04-09 11:11:36,2022-04-09 11:21:26
39587,1,54.3,10.8,1,38,0,"morning",1,"beginning","Fri",11,9,34,2022-04-01 11:09:34,2022-04-01 12:03:50
69288,1,16.3,1.95,1,11.5,0,"afternoon",1,"beginning","Fri",15,57,44,2022-04-01 15:57:44,2022-04-01 16:14:02
594973,0,2.5,0.46,1,4,0,"evening",7,"beginning","Thu",17,8,59,2022-04-07 17:08:59,2022-04-07 17:11:30
2341233,0,7.8,1.4,1,7.5,0,"evening",28,"end","Thu",16,15,43,2022-04-28 16:15:43,2022-04-28 16:23:31
1347684,1,16.6,8.3,1,24,0,"evening",16,"middle","Sat",16,54,11,2022-04-16 16:54:11,2022-04-16 17:10:49
1851908,1,17.5,5.03,2,18,0,"evening",22,"end","Fri",19,17,0,2022-04-22 19:17:00,2022-04-22 19:34:32
256748,1,20.6,13.18,1,36.5,0,"evening",3,"beginning","Sun",20,46,16,2022-04-03 20:46:16,2022-04-03 21:06:52
1114725,0,9,1.3,1,7.5,0,"night",14,"middle","Thu",2,54,33,2022-04-14 02:54:33,2022-04-14 03:03:33
2225566,0,16.8,1.8,1,11.5,0,"afternoon",27,"end","Wed",12,46,32,2022-04-27 12:46:32,2022-04-27 13:03:20
1937525,0,19.6,1.63,2,12.5,0,"evening",23,"end","Sat",18,24,53,2022-04-23 18:24:53,2022-04-23 18:44:27
2292868,0,16.7,3.31,1,14,0,"morning",28,"end","Thu",7,7,54,2022-04-28 07:07:54,2022-04-28 07:24:38
1299598,1,14.6,2.78,1,13,0,"night",16,"middle","Sat",4,40,36,2022-04-16 04:40:36,2022-04-16 04:55:14
2450790,1,19.6,4.66,1,17.5,0,"evening",29,"end","Fri",19,46,28,2022-04-29 19:46:28,2022-04-29 20:06:06
1936798,1,27.8,7.2,1,25.5,0,"evening",23,"end","Sat",18,39,12,2022-04-23 18:39:12,2022-04-23 19:06:57
2537155,0,10.5,1.62,1,9,0,"evening",30,"end","Sat",18,29,12,2022-04-30 18:29:12,2022-04-30 18:39:43
1651004,1,20.5,6.35,1,21,0,"afternoon",20,"end","Wed",15,11,6,2022-04-20 15:11:06,2022-04-20 15:31:36
2067860,1,16.4,6.78,1,21,0,"afternoon",25,"end","Mon",14,12,46,2022-04-25 14:12:46,2022-04-25 14:29:09
122909,0,7.3,1.25,1,7.5,0,"morning",2,"beginning","Sat",8,54,18,2022-04-02 08:54:18,2022-04-02 09:01:39
1097527,1,32.4,24.66,2,65,0,"evening",13,"middle","Wed",17,49,6,2022-04-13 17:49:06,2022-04-13 18:21:31
1186835,0,10.8,1.39,1,8,0,"evening",14,"middle","Thu",16,36,17,2022-04-14 16:36:17,2022-04-14 16:47:08
389032,1,42.7,14.69,1,45.5,0,"afternoon",5,"beginning","Tue",13,48,11,2022-04-05 13:48:11,2022-04-05 14:30:51
16939,0,6,0.88,1,6,0,"morning",1,"beginning","Fri",6,6,16,2022-04-01 06:06:16,2022-04-01 06:12:15
1714935,0,3.9,0.5,2,4.5,0,"morning",21,"end","Thu",11,36,52,2022-04-21 11:36:52,2022-04-21 11:40:47
2243896,1,20.4,6.91,1,22,0,"afternoon",27,"end","Wed",15,37,10,2022-04-27 15:37:10,2022-04-27 15:57:34
1144712,1,34.9,4.26,1,23.5,0,"morning",14,"middle","Thu",9,43,20,2022-04-14 09:43:20,2022-04-14 10:18:11
1363362,1,25.7,5.45,1,20,0,"evening",16,"middle","Sat",19,5,16,2022-04-16 19:05:16,2022-04-16 19:30:58
782807,0,16.2,2.72,1,12.5,0,"evening",9,"beginning","Sat",19,59,46,2022-04-09 19:59:46,2022-04-09 20:15:59
995941,0,5.4,1.06,1,6,0,"afternoon",12,"middle","Tue",14,52,56,2022-04-12 14:52:56,2022-04-12 14:58:18
641922,1,43.1,10.8,1,36.5,6.55,"morning",8,"beginning","Fri",10,2,41,2022-04-08 10:02:41,2022-04-08 10:45:49
1181461,1,15.5,7.9,1,23,6.55,"afternoon",14,"middle","Thu",15,50,56,2022-04-14 15:50:56,2022-04-14 16:06:26
928459,1,31,7.63,1,27.5,0,"evening",11,"middle","Mon",16,59,32,2022-04-11 16:59:32,2022-04-11 17:30:29
1020547,1,7,0.83,5,6,0,"evening",12,"middle","Tue",19,13,52,2022-04-12 19:13:52,2022-04-12 19:20:53
1062087,0,8.6,1.3,1,7.5,0,"morning",13,"middle","Wed",11,45,23,2022-04-13 11:45:23,2022-04-13 11:54:00
1546007,0,49.8,12.6,1,43,6.55,"afternoon",19,"middle","Tue",12,18,1,2022-04-19 12:18:01,2022-04-19 13:07:49
1725971,1,27.1,5.41,1,21,0,"afternoon",21,"end","Thu",13,46,59,2022-04-21 13:46:59,2022-04-21 14:14:08
1043339,0,9.7,1.33,1,8,0,"morning",13,"middle","Wed",7,8,7,2022-04-13 07:08:07,2022-04-13 07:17:48
1448950,0,2.4,0.51,1,4,0,"morning",18,"middle","Mon",7,24,27,2022-04-18 07:24:27,2022-04-18 07:26:48
1638896,0,11.6,0.97,1,8.5,0,"afternoon",20,"end","Wed",13,46,57,2022-04-20 13:46:57,2022-04-20 13:58:31
831855,1,20.2,8.95,1,26,6.55,"morning",10,"middle","Sun",11,4,1,2022-04-10 11:04:01,2022-04-10 11:24:16
2068150,1,32.5,13.55,1,40.5,0,"afternoon",25,"end","Mon",14,53,58,2022-04-25 14:53:58,2022-04-25 15:26:26
1310713,1,29,9.61,1,30.5,6.55,"morning",16,"middle","Sat",8,15,3,2022-04-16 08:15:03,2022-04-16 08:44:06
1665172,0,3.9,1.02,1,5,0,"evening",20,"end","Wed",18,38,1,2022-04-20 18:38:01,2022-04-20 18:41:52
1392006,1,14.6,4,3,14.5,0,"morning",17,"middle","Sun",9,28,16,2022-04-17 09:28:16,2022-04-17 09:42:49
466031,1,26.8,4.36,1,19.5,0,"morning",6,"beginning","Wed",11,24,48,2022-04-06 11:24:48,2022-04-06 11:51:33
1432287,0,9.9,2.13,2,9.5,0,"night",18,"middle","Mon",2,31,55,2022-04-18 02:31:55,2022-04-18 02:41:47
1057420,1,32.3,10.51,1,32,6.55,"morning",13,"middle","Wed",10,20,32,2022-04-13 10:20:32,2022-04-13 10:52:49
1406101,0,5.2,0.8,1,5.5,0,"afternoon",17,"middle","Sun",12,17,49,2022-04-17 12:17:49,2022-04-17 12:23:04
851232,0,12,1.82,1,9.5,0,"afternoon",10,"middle","Sun",15,5,22,2022-04-10 15:05:22,2022-04-10 15:17:23
5128,1,17,6.29,1,20.5,0,"night",1,"beginning","Fri",4,26,37,2022-04-01 04:26:37,2022-04-01 04:43:40
2062196,0,15.3,2.09,1,11,0,"afternoon",25,"end","Mon",13,17,6,2022-04-25 13:17:06,2022-04-25 13:32:27
2070329,1,21.1,3.69,1,16.5,0,"afternoon",25,"end","Mon",14,38,8,2022-04-25 14:38:08,2022-04-25 14:59:17
2489907,0,6.1,1.13,2,6.5,0,"morning",30,"end","Sat",10,23,38,2022-04-30 10:23:38,2022-04-30 10:29:43
110272,1,22.7,10.75,3,31,6.55,"night",2,"beginning","Sat",5,7,27,2022-04-02 05:07:27,2022-04-02 05:30:08
835281,0,2.9,0.3,1,4,0,"afternoon",10,"middle","Sun",12,56,30,2022-04-10 12:56:30,2022-04-10 12:59:24
2081551,0,5.3,0.9,1,5.5,0,"evening",25,"end","Mon",17,47,11,2022-04-25 17:47:11,2022-04-25 17:52:29
1294583,0,8.8,1.99,1,8.5,0,"night",15,"middle","Fri",22,0,6,2022-04-15 22:00:06,2022-04-15 22:08:51
339719,0,28.4,6.43,5,23.5,0,"night",5,"beginning","Tue",4,37,36,2022-04-05 04:37:36,2022-04-05 05:06:01
596140,0,21.8,3.6,1,16.5,0,"evening",7,"beginning","Thu",18,38,44,2022-04-07 18:38:44,2022-04-07 19:00:29
1272502,0,15.9,2.4,1,11,0,"evening",15,"middle","Fri",17,22,7,2022-04-15 17:22:07,2022-04-15 17:38:01
2096030,0,8.1,1.06,1,7,0,"night",26,"end","Tue",3,57,55,2022-04-26 03:57:55,2022-04-26 04:06:02
1131574,1,22.4,5.18,1,19.5,0,"morning",14,"middle","Thu",7,34,5,2022-04-14 07:34:05,2022-04-14 07:56:32
1129470,0,22.5,4.15,1,18,0,"morning",14,"middle","Thu",6,23,14,2022-04-14 06:23:14,2022-04-14 06:45:44
955395,1,33.8,8.99,1,29.5,6.55,"morning",12,"middle","Tue",6,35,44,2022-04-12 06:35:44,2022-04-12 07:09:30
260466,0,16.8,2.4,1,11,0,"night",4,"beginning","Mon",3,46,1,2022-04-04 03:46:01,2022-04-04 04:02:50
44266,0,23.6,3.22,5,15,0,"afternoon",1,"beginning","Fri",12,2,15,2022-04-01 12:02:15,2022-04-01 12:25:48
660968,1,19,4.4,2,16.5,0,"afternoon",8,"beginning","Fri",14,58,13,2022-04-08 14:58:13,2022-04-08 15:17:14
1136711,0,17.1,1.55,2,11.5,0,"morning",14,"middle","Thu",8,44,53,2022-04-14 08:44:53,2022-04-14 09:01:58
2366836,0,6.7,0.9,1,6.5,0,"night",29,"end","Fri",0,56,8,2022-04-29 00:56:08,2022-04-29 01:02:47
1564355,0,19.7,3.7,1,15,0,"afternoon",19,"middle","Tue",15,1,14,2022-04-19 15:01:14,2022-04-19 15:20:54
1154518,0,5.4,0.4,1,5,0,"morning",14,"middle","Thu",11,55,53,2022-04-14 11:55:53,2022-04-14 12:01:16
2257866,1,32.3,16.79,5,46.5,0,"evening",27,"end","Wed",17,41,16,2022-04-27 17:41:16,2022-04-27 18:13:32
1834947,1,14.4,2.44,1,11.5,0,"evening",22,"end","Fri",16,52,15,2022-04-22 16:52:15,2022-04-22 17:06:39
528299,1,36.8,10.5,2,34.5,6.55,"morning",7,"beginning","Thu",6,55,39,2022-04-07 06:55:39,2022-04-07 07:32:24
2083583,0,5,1,2,5.5,0,"evening",25,"end","Mon",17,42,29,2022-04-25 17:42:29,2022-04-25 17:47:26
2246909,0,10.7,1.2,2,8.5,0,"afternoon",27,"end","Wed",15,10,39,2022-04-27 15:10:39,2022-04-27 15:21:22
869939,1,15.4,6.47,2,20,0,"night",11,"middle","Mon",3,12,49,2022-04-11 03:12:49,2022-04-11 03:28:15
123165,0,13.6,5.62,1,18,0,"morning",2,"beginning","Sat",8,21,55,2022-04-02 08:21:55,2022-04-02 08:35:33
605451,0,11.1,5,3,16,0,"evening",7,"beginning","Thu",20,44,7,2022-04-07 20:44:07,2022-04-07 20:55:13
307243,0,39.4,10.4,1,34.5,6.55,"afternoon",4,"beginning","Mon",14,51,18,2022-04-04 14:51:18,2022-04-04 15:30:42
870377,0,2.4,0.4,1,3.5,0,"night",11,"middle","Mon",4,14,29,2022-04-11 04:14:29,2022-04-11 04:16:55
1253753,0,15.4,1.56,1,11,0,"afternoon",15,"middle","Fri",13,51,6,2022-04-15 13:51:06,2022-04-15 14:06:32
668865,1,21.9,4,2,17,0,"afternoon",8,"beginning","Fri",15,31,31,2022-04-08 15:31:31,2022-04-08 15:53:22
757727,1,27.2,3.51,1,18.5,0,"afternoon",9,"beginning","Sat",14,0,19,2022-04-09 14:00:19,2022-04-09 14:27:30
189216,0,8.1,1.89,4,8,0,"evening",2,"beginning","Sat",21,35,18,2022-04-02 21:35:18,2022-04-02 21:43:21
1498925,1,25.2,5.22,1,20.5,0,"evening",18,"middle","Mon",19,49,27,2022-04-18 19:49:27,2022-04-18 20:14:40
1328894,1,20.8,5.52,1,19.5,0,"afternoon",16,"middle","Sat",12,3,1,2022-04-16 12:03:01,2022-04-16 12:23:51
2275183,1,27.2,7.13,6,23,0,"night",28,"end","Thu",3,3,58,2022-04-28 03:03:58,2022-04-28 03:31:08
1257041,1,29.5,5.59,1,23,0,"afternoon",15,"middle","Fri",14,15,20,2022-04-15 14:15:20,2022-04-15 14:44:49
40032,0,5.5,0.8,1,5.5,0,"morning",1,"beginning","Fri",11,11,10,2022-04-01 11:11:10,2022-04-01 11:16:41
1951891,0,5.1,0.71,1,5.5,0,"night",23,"end","Sat",22,31,47,2022-04-23 22:31:47,2022-04-23 22:36:51
2238636,1,3.9,0.5,1,4.5,0,"afternoon",27,"end","Wed",14,22,23,2022-04-27 14:22:23,2022-04-27 14:26:14
216444,0,12.9,2.2,1,10.5,0,"morning",3,"beginning","Sun",9,54,25,2022-04-03 09:54:25,2022-04-03 10:07:22
591127,0,11.1,2.48,1,10.5,0,"evening",7,"beginning","Thu",17,34,24,2022-04-07 17:34:24,2022-04-07 17:45:31
36315,1,40.5,5.26,1,28,0,"morning",1,"beginning","Fri",11,55,53,2022-04-01 11:55:53,2022-04-01 12:36:25
1924250,0,7.2,0.74,1,6,0,"evening",23,"end","Sat",16,33,20,2022-04-23 16:33:20,2022-04-23 16:40:31
1542396,1,18.2,1.55,1,12,0,"morning",19,"middle","Tue",11,58,3,2022-04-19 11:58:03,2022-04-19 12:16:14
516284,0,20,6.09,1,20,0,"night",7,"beginning","Thu",3,12,25,2022-04-07 03:12:25,2022-04-07 03:32:25
1400678,0,8.6,1.2,3,7.5,0,"morning",17,"middle","Sun",11,44,0,2022-04-17 11:44:00,2022-04-17 11:52:37
747707,1,23.4,3.72,1,17,0,"afternoon",9,"beginning","Sat",12,6,15,2022-04-09 12:06:15,2022-04-09 12:29:36
2035484,0,11.5,4.3,1,14.5,0,"morning",25,"end","Mon",7,14,52,2022-04-25 07:14:52,2022-04-25 07:26:24
194474,1,17.7,9.77,2,28.5,0,"night",2,"beginning","Sat",23,41,57,2022-04-02 23:41:57,2022-04-02 23:59:37
833881,0,7.4,1,2,6.5,0,"morning",10,"middle","Sun",11,5,24,2022-04-10 11:05:24,2022-04-10 11:12:50
1622167,1,27.7,2,2,17,0,"morning",20,"end","Wed",10,46,22,2022-04-20 10:46:22,2022-04-20 11:14:04
2274434,1,27,10,1,30.5,6.55,"night",28,"end","Thu",3,49,44,2022-04-28 03:49:44,2022-04-28 04:16:47
2197590,0,35.2,9.76,1,32.5,0,"morning",27,"end","Wed",7,35,42,2022-04-27 07:35:42,2022-04-27 08:10:57
2024464,0,57.4,11.03,1,43,6.55,"night",25,"end","Mon",4,2,4,2022-04-25 04:02:04,2022-04-25 04:59:29
1821811,0,13.5,1.93,1,10,0,"afternoon",22,"end","Fri",14,17,16,2022-04-22 14:17:16,2022-04-22 14:30:48
1198250,1,27.2,5.2,1,21,0,"evening",14,"middle","Thu",19,30,44,2022-04-14 19:30:44,2022-04-14 19:57:58
2163051,0,15.6,3.35,1,13,0,"evening",26,"end","Tue",16,13,21,2022-04-26 16:13:21,2022-04-26 16:28:56
59173,0,12.4,1.68,1,9.5,0,"afternoon",1,"beginning","Fri",14,32,47,2022-04-01 14:32:47,2022-04-01 14:45:10
167646,1,27.5,2.86,1,17.5,0,"evening",2,"beginning","Sat",16,17,3,2022-04-02 16:17:03,2022-04-02 16:44:32
773892,1,30.8,9.28,2,29,0,"evening",9,"beginning","Sat",17,12,6,2022-04-09 17:12:06,2022-04-09 17:42:53
1499485,0,6.2,1.26,1,6.5,0,"evening",18,"middle","Mon",19,40,44,2022-04-18 19:40:44,2022-04-18 19:46:53
768921,1,5.6,0.6,1,4.5,0,"evening",9,"beginning","Sat",16,19,58,2022-04-09 16:19:58,2022-04-09 16:25:32
696099,0,10.3,1.5,1,8.5,0,"evening",8,"beginning","Fri",20,55,7,2022-04-08 20:55:07,2022-04-08 21:05:28
214024,1,24.5,3.79,1,17.5,0,"morning",3,"beginning","Sun",8,0,45,2022-04-03 08:00:45,2022-04-03 08:25:17
2304748,0,17.9,3.07,2,13.5,0,"morning",28,"end","Thu",9,15,31,2022-04-28 09:15:31,2022-04-28 09:33:25
833619,0,14.6,2.7,0,12,0,"morning",10,"middle","Sun",11,49,39,2022-04-10 11:49:39,2022-04-10 12:04:12
2493614,1,27.2,4.01,1,19.5,0,"morning",30,"end","Sat",10,50,34,2022-04-30 10:50:34,2022-04-30 11:17:48
388624,0,6.4,1.06,2,6,0,"afternoon",5,"beginning","Tue",13,49,13,2022-04-05 13:49:13,2022-04-05 13:55:36
276288,1,23.9,3.6,1,17.5,0,"morning",4,"beginning","Mon",7,51,31,2022-04-04 07:51:31,2022-04-04 08:15:24
711599,1,21.2,12.8,1,35.5,0,"night",9,"beginning","Sat",5,37,2,2022-04-09 05:37:02,2022-04-09 05:58:17
373491,0,22.9,6.96,1,19.5,0,"morning",5,"beginning","Tue",11,54,12,2022-04-05 11:54:12,2022-04-05 12:17:05
1993265,0,5,0.7,1,5.5,0,"afternoon",24,"end","Sun",13,29,36,2022-04-24 13:29:36,2022-04-24 13:34:37
