"id","quality","variety","price","distance","courteousness","atmosphere","rating_PinkBerry","rating_RedMango","rating_16Handles","rank_PinkBerry","rank_RedMango","rank_16Handles","rewardsCard_16Handles","social","gender"
146,4,3,4,4,4,4,4,3,4,3,2,1,2,1,2
147,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
148,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
149,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
150,3,5,5,3,2,4,4,4,3,1,2,3,2,3,2
151,3,5,5,3,4,4,4,4,3,1,2,3,1,4,2
152,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
153,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
154,2,1,2,2,1,2,1,2,2,3,1,2,1,2,2
155,2,2,2,2,2,2,1,2,2,3,1,2,1,5,2
156,1,1,1,1,1,1,5,1,1,2,3,1,2,1,1
157,2,2,2,2,2,2,1,4,3,2,1,3,1,3,1
158,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
159,4,3,4,4,4,4,4,3,4,3,2,1,1,1,2
160,2,2,2,2,2,2,1,4,3,2,1,3,1,4,2
161,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
162,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
163,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2
164,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
165,4,3,4,4,3,3,3,5,4,2,1,3,1,4,2
166,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
167,3,5,5,3,4,4,4,4,3,1,2,3,2,3,2
168,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
169,4,3,4,4,3,3,3,3,4,3,1,2,1,4,2
170,1,1,1,1,1,1,5,1,1,2,3,1,2,4,2
171,1,1,1,1,1,1,5,1,1,2,3,1,2,1,1
172,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
173,1,1,1,1,1,1,5,1,1,2,3,1,2,1,2
174,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
175,2,2,2,2,1,2,1,2,2,3,1,2,1,1,2
176,4,3,4,4,3,3,3,5,4,2,1,3,1,3,2
177,4,3,4,4,3,3,3,3,4,3,1,2,1,2,2
178,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
179,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
180,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
181,3,5,5,3,4,4,4,3,4,3,2,1,2,3,2
182,4,3,4,4,4,4,4,3,4,3,2,1,1,2,1
183,4,3,4,4,3,3,3,3,4,3,1,2,1,2,1
184,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
185,3,5,5,3,4,4,4,3,4,3,2,1,1,3,2
186,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
187,4,3,4,4,3,3,3,3,4,3,1,2,2,2,2
188,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
189,4,3,4,4,3,3,3,3,4,3,1,2,1,3,2
190,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
191,4,3,4,4,3,3,3,5,4,2,1,3,1,2,2
192,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
193,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
194,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
195,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
196,3,5,5,3,4,4,4,4,3,1,2,3,1,2,2
197,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
198,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
199,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
200,4,5,4,4,4,4,4,3,4,3,2,1,2,2,2
201,2,2,2,2,1,2,1,2,2,3,1,2,2,2,2
202,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
203,1,1,1,1,1,1,5,1,1,2,3,1,2,3,2
204,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
205,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
206,3,5,5,3,4,4,4,4,3,1,2,3,2,1,2
207,5,4,3,5,5,5,2,5,5,3,1,2,1,3,1
208,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
209,4,3,4,4,3,3,3,5,5,3,1,2,1,4,2
210,4,3,4,4,3,3,3,5,5,3,1,2,2,4,1
211,4,3,4,4,3,3,3,5,5,3,1,2,2,2,2
212,3,5,5,3,4,4,4,4,3,1,2,3,1,2,2
213,2,2,2,2,2,2,1,4,3,2,1,3,1,1,2
214,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
215,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
216,3,5,5,3,4,4,4,3,4,3,2,1,1,2,2
217,3,5,5,3,2,2,1,4,3,2,1,3,2,4,2
218,4,3,4,4,3,3,3,3,4,3,1,2,1,4,2
219,2,2,2,2,1,2,1,2,2,3,1,2,2,2,2
220,4,5,4,4,4,4,4,3,4,3,2,1,1,2,2
221,5,3,3,5,3,5,2,5,5,3,1,2,1,4,2
222,4,3,4,4,3,3,3,5,5,3,1,2,2,3,1
223,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
224,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
225,3,5,5,3,4,4,4,4,3,1,2,3,1,1,1
226,2,2,2,2,2,2,1,2,2,3,1,2,2,4,2
227,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
228,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
229,4,3,4,4,4,3,3,3,4,3,1,2,2,4,2
230,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
231,2,2,2,2,2,2,1,2,2,3,1,2,1,4,2
232,4,3,4,4,4,4,4,3,4,3,2,1,2,1,2
233,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
234,2,2,2,2,2,2,1,2,2,3,1,2,1,1,2
235,2,2,2,2,2,2,1,4,3,2,1,3,2,3,2
236,5,3,3,5,3,5,2,5,5,3,1,2,2,2,2
237,5,4,3,5,3,5,2,5,5,3,1,2,1,1,2
238,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
239,4,3,4,4,3,3,3,5,4,2,1,3,2,2,2
240,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
241,4,3,4,4,3,3,3,5,4,2,1,3,1,1,2
242,3,5,5,3,2,4,4,4,3,1,2,3,1,4,1
243,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2
244,4,3,4,4,4,3,3,3,4,3,1,2,1,3,2
245,3,5,5,3,2,2,1,4,3,2,1,3,1,3,2
246,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2
247,3,5,5,3,4,4,4,4,3,1,2,3,2,1,2
248,3,5,5,3,4,4,4,4,3,1,2,3,2,1,2
249,4,3,4,4,4,4,4,3,4,3,2,1,1,1,2
250,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
251,1,1,1,1,1,1,5,1,1,2,3,1,2,3,2
252,4,5,4,4,4,4,4,3,4,3,2,1,2,2,2
253,3,5,5,3,4,4,4,4,3,1,2,3,1,2,2
254,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
255,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
256,3,5,5,3,2,4,4,4,3,1,2,3,2,2,2
257,5,3,3,5,3,5,2,5,5,3,1,2,1,3,2
258,1,1,1,1,1,1,5,1,1,2,3,1,1,5,1
259,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
260,2,2,2,2,1,2,1,2,2,3,1,2,2,4,1
261,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
262,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
263,4,3,4,4,4,3,3,3,4,3,1,2,2,2,2
264,3,5,5,3,4,4,4,3,4,3,2,1,2,1,2
265,4,3,4,4,3,3,3,5,4,2,1,3,1,3,2
266,4,3,4,4,3,3,3,3,4,3,1,2,2,1,1
267,5,4,3,5,5,5,2,5,5,3,1,2,3,2,2
268,5,4,3,5,5,5,2,5,5,3,1,2,2,4,2
269,4,3,4,4,3,3,3,3,4,3,1,2,1,1,2
270,2,2,2,2,1,2,1,2,2,3,1,2,2,1,1
271,3,5,5,3,2,2,1,4,3,2,1,3,2,2,1
272,1,1,1,1,1,1,5,1,1,2,3,1,2,1,2
273,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2
274,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
275,3,5,5,3,4,4,4,4,3,1,2,3,2,3,2
276,4,3,4,4,3,3,3,5,4,2,1,3,1,1,2
277,4,3,4,4,4,4,4,3,4,3,2,1,1,1,2
278,3,5,5,3,2,2,1,4,3,2,1,3,2,1,2
279,2,2,2,2,2,2,1,2,2,3,1,2,2,4,2
280,3,5,5,3,4,4,4,3,4,3,2,1,1,2,2
281,4,3,4,4,3,3,3,3,4,3,1,2,1,5,2
282,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2
283,3,5,5,3,4,4,4,4,3,1,2,3,2,2,2
284,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
285,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
286,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
287,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
288,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
289,2,2,2,2,1,2,1,2,2,3,1,2,2,4,1
290,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
291,3,5,5,3,4,4,4,3,4,3,2,1,2,2,2
292,4,3,4,4,4,4,4,3,4,3,2,1,2,2,2
293,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
294,5,4,3,5,5,5,2,5,5,3,1,2,3,2,2
295,3,5,5,3,2,4,4,4,3,1,2,3,1,3,2
296,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
297,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
298,3,5,5,3,2,4,4,4,3,1,2,3,2,2,2
299,4,3,4,4,4,3,3,3,4,3,1,2,2,1,1
300,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
301,4,3,4,4,3,3,3,3,4,3,1,2,2,5,2
302,3,5,5,3,2,2,1,4,3,2,1,3,2,1,2
303,2,2,2,2,2,2,1,2,2,3,1,2,1,5,1
304,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
305,2,2,2,2,2,2,1,4,3,2,1,3,1,3,2
306,1,1,1,1,1,1,5,1,1,2,3,1,1,4,1
307,4,5,4,4,4,4,4,3,4,3,2,1,1,4,1
308,3,5,5,3,4,4,4,3,4,3,2,1,1,5,2
309,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
310,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
311,1,1,1,1,1,1,5,1,1,2,3,1,2,1,2
312,2,2,2,2,2,2,1,4,3,2,1,3,1,1,2
313,3,5,5,3,2,4,4,4,3,1,2,3,1,5,2
314,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
315,2,2,2,2,2,2,1,4,3,2,1,3,1,2,2
316,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
317,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
318,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
319,4,3,4,4,4,3,3,3,4,3,1,2,2,2,2
320,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
321,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
322,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
323,3,5,5,3,4,4,4,4,3,1,2,3,1,5,2
324,2,2,2,2,2,2,1,4,3,2,1,3,1,4,1
325,5,3,3,5,3,5,2,5,5,3,1,2,1,4,2
326,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
327,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
328,5,3,3,5,3,5,2,5,5,3,1,2,2,2,2
329,1,1,1,1,1,1,5,1,1,2,3,1,2,2,1
330,4,3,4,4,4,3,3,3,4,3,1,2,2,4,2
331,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
332,2,2,2,2,1,2,1,2,2,3,1,2,1,5,2
333,3,5,5,3,2,4,4,4,3,1,2,3,2,1,2
334,3,5,5,3,4,4,4,4,3,1,2,3,1,5,2
335,1,1,1,1,1,1,5,1,1,2,3,1,1,3,2
336,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
337,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
338,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
339,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
340,1,1,1,1,1,1,5,1,1,2,3,1,2,5,2
341,3,5,5,3,4,4,4,4,3,1,2,3,1,2,1
342,2,2,2,2,2,2,1,4,3,2,1,3,1,2,1
343,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
344,2,2,2,2,2,2,1,2,2,3,1,2,2,2,1
345,2,2,2,2,2,2,1,2,2,3,1,2,1,3,2
346,5,4,3,5,3,5,2,5,5,3,1,2,1,2,2
347,3,5,5,3,2,2,1,4,3,2,1,3,1,3,1
348,5,4,3,5,5,5,2,5,5,3,1,2,2,5,2
349,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
350,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
351,1,1,1,1,1,1,5,1,1,2,3,1,2,1,2
352,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
353,4,3,4,4,3,3,3,3,4,3,1,2,1,1,1
354,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
355,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
356,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
357,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
358,4,5,4,4,4,4,4,3,4,3,2,1,3,3,1
359,4,3,4,4,4,3,3,3,4,3,1,2,2,5,2
360,4,3,4,4,4,3,3,3,4,3,1,2,1,2,1
361,3,5,5,3,4,4,4,4,3,1,2,3,2,1,2
362,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
363,5,3,3,5,3,5,2,5,5,3,1,2,1,2,2
364,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
365,2,2,2,2,2,2,1,4,3,2,1,3,2,4,1
366,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
367,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
368,3,5,5,3,4,4,4,3,4,3,2,1,2,3,2
369,3,5,5,3,4,4,4,4,3,1,2,3,1,5,2
370,3,5,5,3,2,4,4,4,3,1,2,3,1,2,1
371,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
372,3,5,5,3,2,2,1,4,3,2,1,3,2,4,2
373,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
374,2,2,2,2,1,2,1,2,2,3,1,2,1,3,1
375,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
376,4,3,4,4,4,3,3,3,4,3,1,2,1,3,1
377,4,3,4,4,3,3,3,5,4,2,1,3,1,2,2
378,3,5,5,3,4,4,4,3,4,3,2,1,1,2,2
379,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
380,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
381,4,3,4,4,4,4,4,3,4,3,2,1,2,4,2
382,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2
383,1,1,1,1,1,1,5,1,1,2,3,1,2,4,1
384,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
385,4,3,4,4,3,3,3,5,4,2,1,3,1,2,2
386,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
387,4,3,4,4,3,3,3,5,5,3,1,2,2,2,2
388,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
389,3,5,5,3,2,4,4,4,3,1,2,3,1,2,1
390,4,3,4,4,3,3,3,5,4,2,1,3,2,4,1
391,4,3,4,4,4,3,3,3,4,3,1,2,1,2,1
392,3,5,5,3,4,4,4,3,4,3,2,1,2,5,2
393,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
394,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
395,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
396,4,3,4,4,3,3,3,5,5,3,1,2,2,2,1
397,2,2,2,2,2,2,1,4,3,2,1,3,2,3,2
398,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
399,5,3,3,5,3,5,2,5,5,3,1,2,2,5,2
400,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
401,3,2,5,3,2,2,1,4,3,2,1,3,1,2,2
402,3,5,5,3,2,2,1,4,3,2,1,3,2,1,2
403,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
404,2,2,2,2,1,2,1,2,2,3,1,2,2,2,1
405,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
406,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
407,4,3,4,4,4,3,3,3,4,3,1,2,1,2,1
408,4,5,4,4,4,4,4,3,4,3,2,1,1,2,2
409,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
410,4,3,4,4,4,4,4,3,4,3,2,1,1,2,2
411,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
412,4,3,4,4,3,3,3,5,5,3,1,2,1,3,2
413,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
414,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
415,3,5,5,3,4,4,4,3,4,3,2,1,2,5,2
416,4,3,4,4,4,4,4,3,4,3,2,1,2,3,2
417,4,3,4,4,3,3,3,3,4,3,1,2,2,2,2
418,5,3,3,5,3,5,2,5,5,3,1,2,2,3,2
419,3,5,5,3,4,4,4,3,4,3,2,1,1,4,2
420,4,3,4,4,3,3,3,3,4,3,1,2,1,4,2
421,3,5,5,3,4,4,4,3,4,3,2,1,2,2,2
422,4,3,4,4,3,3,3,5,5,3,1,2,2,3,2
423,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
424,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
425,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
426,4,3,4,4,3,3,3,5,5,3,1,2,2,1,1
427,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
428,5,3,3,5,3,5,2,5,5,3,1,2,2,5,2
429,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
430,3,5,5,3,4,4,4,4,3,1,2,3,1,4,1
431,2,2,2,2,2,2,1,2,2,3,1,2,2,1,2
